Quarter,Time,Down,ToGo,Location,ATL,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Falcons to receive the opening kickoff.",,,13.0,2023,182
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,182
1.0,15:00,1.0,10.0,ATL 25,0.0,0.0,"Desmond Ridder aborted snap, recovered by Desmond Ridder at ATL-23 and returned for -2 yards",0.61,-0.21,13.0,2023,182
1.0,14:24,2.0,12.0,ATL 23,0.0,0.0,Bijan Robinson right tackle for 4 yards (tackle by Jermaine Johnson and Tony Adams),-0.21,-0.36,13.0,2023,182
1.0,13:46,3.0,8.0,ATL 27,0.0,0.0,Desmond Ridder pass complete short left to Kyle Pitts for 16 yards (tackle by Tony Adams),-0.36,1.8,13.0,2023,182
1.0,13:05,1.0,10.0,ATL 43,0.0,0.0,Desmond Ridder pass incomplete short right intended for Cordarrelle Patterson,1.8,1.25,13.0,2023,182
1.0,13:00,2.0,10.0,ATL 43,0.0,0.0,Bijan Robinson left end for -4 yards (tackle by Solomon Thomas),1.25,0.04,13.0,2023,182
1.0,12:20,3.0,14.0,ATL 39,0.0,0.0,Desmond Ridder pass incomplete short middle intended for Kyle Pitts,0.04,-0.78,13.0,2023,182
1.0,12:09,4.0,14.0,ATL 39,0.0,0.0,Bradley Pinion punts 46 yards out of bounds,-0.78,0.22,13.0,2023,182
1.0,12:06,1.0,10.0,NYJ 15,0.0,0.0,Tim Boyle pass incomplete short right intended for Breece Hall,-0.22,-0.71,13.0,2023,182
1.0,12:01,2.0,10.0,NYJ 15,0.0,0.0,Breece Hall left end for -1 yards (tackle by Kentavius Street),-0.71,-1.51,13.0,2023,182
1.0,11:44,3.0,11.0,NYJ 14,0.0,0.0,Tim Boyle pass complete short middle to Breece Hall for 7 yards (tackle by AJ Terrell),-1.51,-1.96,13.0,2023,182
1.0,11:01,4.0,4.0,NYJ 21,0.0,0.0,"Thomas Morstead punts 58 yards, returned by DeAundre Alford for 13 yards (tackle by Ashtyn Davis)",-1.96,-1.2,13.0,2023,182
1.0,10:49,1.0,10.0,ATL 34,0.0,0.0,Cordarrelle Patterson left end for 7 yards (tackle by Jamien Sherwood),1.2,1.6,13.0,2023,182
1.0,10:11,2.0,3.0,ATL 41,0.0,0.0,Cordarrelle Patterson up the middle for 4 yards (tackle by John Franklin-Myers),1.6,1.93,13.0,2023,182
1.0,9:36,1.0,10.0,ATL 45,0.0,0.0,Desmond Ridder pass incomplete short left intended for Bijan Robinson,1.93,1.38,13.0,2023,182
1.0,9:30,2.0,10.0,ATL 45,0.0,0.0,Desmond Ridder pass incomplete deep left intended for Kyle Pitts,1.38,0.7,13.0,2023,182
1.0,9:26,3.0,10.0,ATL 45,0.0,0.0,Desmond Ridder sacked by and Jermaine Johnson for -5 yards and Quinton Jefferson for -5 yards,0.7,-0.72,13.0,2023,182
