Quarter,Time,Tm,Detail,DET,NOR,week,year,game_id
1.0,11:15,Lions,David Montgomery 2 yard rush (Riley Patterson kick),7,0,13.0,2023,185
,10:24,Lions,Sam LaPorta 13 yard pass from Jared Goff (Riley Patterson kick),14,0,13.0,2023,185
,8:15,Lions,Amon-Ra St. Brown 25 yard pass from Jared Goff (Riley Patterson kick),21,0,13.0,2023,185
2.0,9:08,Saints,Jimmy Graham 6 yard pass from Derek Carr (Blake Grupe kick),21,7,13.0,2023,185
,0:08,Lions,Riley Patterson 26 yard field goal,24,7,13.0,2023,185
3.0,10:04,Saints,Alvin Kamara 2 yard rush (Blake Grupe kick),24,14,13.0,2023,185
,4:34,Saints,Taysom Hill 1 yard rush (Blake Grupe kick),24,21,13.0,2023,185
,0:00,Lions,Riley Patterson 32 yard field goal,27,21,13.0,2023,185
4.0,14:07,Lions,Jameson Williams 19 yard rush (pass failed),33,21,13.0,2023,185
,7:30,Saints,Alvin Kamara 1 yard rush (Blake Grupe kick),33,28,13.0,2023,185
