Unnamed: 0,ARI,PIT,week,year,game_id
First Downs,18,18,13.0,2023,188
Rush-Yds-TDs,38-150-2,31-130-0,13.0,2023,188
Cmp-Att-Yd-TD-INT,13-23-145-1-0,18-27-187-1-0,13.0,2023,188
Sacked-Yards,2-13,0-0,13.0,2023,188
Net Pass Yards,132,187,13.0,2023,188
Total Yards,282,317,13.0,2023,188
Fumbles-Lost,2-0,2-1,13.0,2023,188
Turnovers,0,1,13.0,2023,188
Penalties-Yards,6-51,9-77,13.0,2023,188
Third Down Conv.,10-17,4-11,13.0,2023,188
Fourth Down Conv.,0-0,0-1,13.0,2023,188
Time of Possession,29:17,30:43,13.0,2023,188
