Unnamed: 0,CAR,TAM,week,year,game_id
First Downs,15,15,13.0,2023,189
Rush-Yds-TDs,34-133-2,28-128-2,13.0,2023,189
Cmp-Att-Yd-TD-INT,15-31-178-0-1,14-29-202-1-1,13.0,2023,189
Sacked-Yards,4-29,1-8,13.0,2023,189
Net Pass Yards,149,194,13.0,2023,189
Total Yards,282,322,13.0,2023,189
Fumbles-Lost,2-0,0-0,13.0,2023,189
Turnovers,1,1,13.0,2023,189
Penalties-Yards,7-62,5-36,13.0,2023,189
Third Down Conv.,3-15,6-15,13.0,2023,189
Fourth Down Conv.,1-3,0-0,13.0,2023,189
Time of Possession,33:42,26:18,13.0,2023,189
