Quarter,Time,Down,ToGo,Location,KAN,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Packers to receive the opening kickoff.",,,13.0,2023,192
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,192
1.0,15:00,1.0,10.0,GNB 25,0.0,0.0,Jordan Love pass complete short middle to Jayden Reed for 9 yards (tackle by Bryan Cook),0.61,1.28,13.0,2023,192
1.0,14:19,2.0,1.0,GNB 34,0.0,0.0,AJ Dillon left tackle for 3 yards (tackle by Justin Reid),1.28,1.4,13.0,2023,192
1.0,13:42,1.0,10.0,GNB 37,0.0,0.0,Jordan Love pass complete deep middle to Christian Watson for 19 yards (tackle by Bryan Cook),1.4,2.65,13.0,2023,192
1.0,13:00,1.0,10.0,KAN 44,0.0,0.0,AJ Dillon left end for 3 yards (tackle by Bryan Cook and Trent McDuffie),2.65,2.52,13.0,2023,192
1.0,12:15,2.0,7.0,KAN 41,0.0,0.0,AJ Dillon left tackle for 5 yards (tackle by Willie Gay and Charles Omenihu),2.52,2.48,13.0,2023,192
1.0,11:31,3.0,2.0,KAN 36,0.0,0.0,AJ Dillon up the middle for 2 yards (tackle by Drue Tranquill),2.48,3.31,13.0,2023,192
1.0,10:54,1.0,10.0,KAN 34,0.0,0.0,AJ Dillon right end for 5 yards (tackle by Drue Tranquill and Michael Danna),3.31,3.45,13.0,2023,192
1.0,10:24,2.0,5.0,KAN 29,0.0,0.0,Jordan Love pass complete short left to Tucker Kraft for 9 yards (tackle by Leo Chenal and Trent McDuffie),3.45,4.24,13.0,2023,192
1.0,9:46,1.0,10.0,KAN 20,0.0,0.0,Jordan Love pass complete short middle to Jayden Reed for no gain (tackle by Jack Cochrane and Tershawn Wharton),4.24,3.69,13.0,2023,192
1.0,9:04,2.0,10.0,KAN 20,0.0,0.0,AJ Dillon up the middle for 6 yards (tackle by Matt Dickerson),3.69,3.89,13.0,2023,192
1.0,8:20,,,,,,Timeout #1 by Green Bay Packers,,,13.0,2023,192
1.0,8:20,3.0,4.0,KAN 14,0.0,0.0,Jordan Love pass complete short right to Dontayvion Wicks for 7 yards (tackle by Justin Reid),3.89,5.6,13.0,2023,192
1.0,7:40,1.0,7.0,KAN 7,0.0,0.0,AJ Dillon right guard for 6 yards (tackle by Trent McDuffie),5.6,5.91,13.0,2023,192
1.0,7:17,2.0,1.0,KAN 1,0.0,6.0,"Jordan Love pass complete short right to Ben Sims for 1 yard, touchdown",5.91,7.0,13.0,2023,192
1.0,7:13,,,KAN 15,0.0,7.0,Anders Carlson kicks extra point good,0.0,0.0,13.0,2023,192
1.0,7:13,,,GNB 35,0.0,7.0,"Anders Carlson kicks off 63 yards, returned by Richie James for 22 yards (tackle by Isaiah McDuffie)",0.0,0.54,13.0,2023,192
1.0,7:08,1.0,10.0,KAN 24,0.0,7.0,Patrick Mahomes pass complete short left to Rashee Rice for 9 yards (tackle by Jonathan Owens),0.54,1.21,13.0,2023,192
1.0,6:41,2.0,1.0,KAN 33,0.0,7.0,Isiah Pacheco left guard for 8 yards (tackle by Rashan Gary and Quay Walker),1.21,1.66,13.0,2023,192
1.0,6:11,1.0,10.0,KAN 41,0.0,7.0,Patrick Mahomes pass complete short right to Isiah Pacheco for 7 yards (tackle by Quay Walker and De'Vondre Campbell),1.66,2.07,13.0,2023,192
1.0,5:37,2.0,3.0,KAN 48,0.0,7.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 1 yard (tackle by Corey Ballentine and Keisean Nixon),2.07,1.49,13.0,2023,192
1.0,4:53,3.0,2.0,KAN 49,0.0,7.0,Clyde Edwards-Helaire left guard for 5 yards (tackle by Quay Walker and Rashan Gary),1.49,2.52,13.0,2023,192
1.0,4:20,1.0,10.0,GNB 46,0.0,7.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce (defended by Darnell Savage),2.52,1.98,13.0,2023,192
1.0,4:11,2.0,10.0,GNB 46,0.0,7.0,"Patrick Mahomes pass complete short right to Travis Kelce for no gain (tackle by Darnell Savage). Penalty on Travis Kelce: Offensive Pass Interference, 10 yards (accepted) (no play)",1.98,0.63,13.0,2023,192
1.0,3:49,2.0,20.0,KAN 44,0.0,7.0,Patrick Mahomes scrambles left end for 9 yards (tackle by Corey Ballentine),0.63,1.16,13.0,2023,192
1.0,3:31,3.0,11.0,GNB 47,0.0,7.0,Patrick Mahomes pass complete deep middle to Marquez Valdes-Scantling for 16 yards (tackle by Rudy Ford),1.16,3.51,13.0,2023,192
1.0,2:54,1.0,10.0,GNB 31,0.0,7.0,Isiah Pacheco left guard for 26 yards (tackle by Anthony Johnson and Corey Ballentine),3.51,6.06,13.0,2023,192
1.0,2:13,1.0,5.0,GNB 5,0.0,7.0,Patrick Mahomes sacked by Lukas Van Ness for -9 yards,6.06,3.58,13.0,2023,192
1.0,1:27,2.0,14.0,GNB 14,0.0,7.0,Isiah Pacheco left tackle for 5 yards (tackle by Quay Walker and Kenny Clark),3.58,3.36,13.0,2023,192
1.0,0:48,3.0,9.0,GNB 9,0.0,7.0,Patrick Mahomes sacked by and Rashan Gary for -7 yards and Kenny Clark for -7 yards,3.36,2.38,13.0,2023,192
