Unnamed: 0,CIN,JAX,week,year,game_id
First Downs,27,23,13.0,2023,193
Rush-Yds-TDs,31-156-3,25-71-2,13.0,2023,193
Cmp-Att-Yd-TD-INT,33-39-347-1-1,31-39-321-2-0,13.0,2023,193
Sacked-Yards,2-12,4-16,13.0,2023,193
Net Pass Yards,335,305,13.0,2023,193
Total Yards,491,376,13.0,2023,193
Fumbles-Lost,0-0,3-0,13.0,2023,193
Turnovers,1,0,13.0,2023,193
Penalties-Yards,6-35,7-55,13.0,2023,193
Third Down Conv.,8-14,6-15,13.0,2023,193
Fourth Down Conv.,1-2,2-2,13.0,2023,193
Time of Possession,34:03,34:12,13.0,2023,193
