Quarter,Time,Tm,Detail,LAC,NWE,week,year,game_id
2.0,9:09,Chargers,Cameron Dicker 38 yard field goal,3,0,13.0,2023,187
,0:44,Chargers,Cameron Dicker 38 yard field goal,6,0,13.0,2023,187
