Quarter,Time,Tm,Detail,IND,TEN,week,year,game_id
1,13:20,Titans,Derrick Henry 22 yard rush (Nick Folk kick),0,7,13.0,2023,183
,12:05,Colts,Alec Pierce 36 yard pass from Gardner Minshew II (Matt Gay kick),7,7,13.0,2023,183
,0:13,Titans,Nick Folk 24 yard field goal,7,10,13.0,2023,183
2,10:22,Titans,Derrick Henry 5 yard rush (Nick Folk kick),7,17,13.0,2023,183
,7:39,Colts,Matt Gay 23 yard field goal,10,17,13.0,2023,183
,0:04,Colts,Matt Gay 46 yard field goal,13,17,13.0,2023,183
3,4:57,Colts,Matt Gay 23 yard field goal,16,17,13.0,2023,183
,0:19,Colts,Grant Stuard 18 yard blocked punt return (pass failed),22,17,13.0,2023,183
,0:19,Titans,Amani Hooker defensive extra point return,22,19,13.0,2023,183
4,11:34,Colts,Matt Gay 28 yard field goal,25,19,13.0,2023,183
,5:26,Titans,DeAndre Hopkins 3 yard pass from Will Levis (Nick Folk kick failed),25,25,13.0,2023,183
OT,4:19,Titans,Nick Folk 46 yard field goal,25,28,13.0,2023,183
,2:31,Colts,Michael Pittman Jr. 4 yard pass from Gardner Minshew II,31,28,13.0,2023,183
