Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Tua Tagovailoa,MIA,18,24,280,2,0,0,0,78,141.0,13.0,2023,186
Mike White,MIA,1,1,3,0,0,0,0,3,79.2,13.0,2023,186
De'Von Achane,MIA,0,0,0,0,0,0,0,0,,13.0,2023,186
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,13.0,2023,186
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,13.0,2023,186
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,13.0,2023,186
Julian Hill,MIA,0,0,0,0,0,0,0,0,,13.0,2023,186
River Cracraft,MIA,0,0,0,0,0,0,0,0,,13.0,2023,186
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,13.0,2023,186
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,13.0,2023,186
Sam Howell,WAS,12,23,127,0,1,3,20,33,50.5,13.0,2023,186
Brian Robinson Jr.,WAS,0,0,0,0,0,0,0,0,,13.0,2023,186
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,13.0,2023,186
Chris Rodriguez,WAS,0,0,0,0,0,0,0,0,,13.0,2023,186
Curtis Samuel,WAS,0,0,0,0,0,0,0,0,,13.0,2023,186
Jahan Dotson,WAS,0,0,0,0,0,0,0,0,,13.0,2023,186
Cole Turner,WAS,0,0,0,0,0,0,0,0,,13.0,2023,186
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,13.0,2023,186
Logan Thomas,WAS,0,0,0,0,0,0,0,0,,13.0,2023,186
Dyami Brown,WAS,0,0,0,0,0,0,0,0,,13.0,2023,186
John Bates,WAS,0,0,0,0,0,0,0,0,,13.0,2023,186
