Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Javonte Williams,DEN,13,46,0,3.0,19,1.5,27,2.1,0,,13.0,2023,184
Russell Wilson,DEN,10,44,1,4.0,33,3.3,11,1.1,0,,13.0,2023,184
Jaleel McLaughlin,DEN,4,15,0,1.0,12,3.0,3,0.8,0,,13.0,2023,184
Michael Burton,DEN,1,4,0,1.0,1,1.0,3,3.0,0,,13.0,2023,184
Marvin Mims,DEN,1,8,0,,0,0.0,8,8.0,1,1.0,13.0,2023,184
Samaje Perine,DEN,1,1,0,,0,0.0,1,1.0,0,,13.0,2023,184
Dameon Pierce,HOU,15,41,1,1.0,16,1.1,25,1.7,1,15.0,13.0,2023,184
Devin Singletary,HOU,8,36,0,1.0,24,3.0,12,1.5,0,,13.0,2023,184
C.J. Stroud,HOU,6,11,0,3.0,4,0.7,7,1.2,0,,13.0,2023,184
Dare Ogunbowale,HOU,1,1,0,,1,1.0,0,0.0,0,,13.0,2023,184
