Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bengals,3.0,17.41,14.31,4.1,-5.75,-13.98,-10.7,-3.46,0.0,0.31,-3.98,2.71,-0.08,-1.22,2.88,13.0,2023,193
Jaguars,-3.0,13.98,10.7,3.46,0.0,-17.41,-14.31,-4.1,5.75,-0.31,-2.71,3.98,1.22,0.08,-2.88,13.0,2023,193
