Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,13.0,2023,181
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Tony Pollard left guard for 2 yards (tackle by Jarran Reed and Dre'Mont Jones),0.61,0.33,13.0,2023,181
1.0,14:32,2.0,8.0,DAL 27,0.0,0.0,Dak Prescott pass complete deep middle to CeeDee Lamb for 23 yards (tackle by Quandre Diggs),0.33,2.26,13.0,2023,181
1.0,14:00,1.0,10.0,SEA 50,0.0,0.0,Dak Prescott pass complete short left to CeeDee Lamb for 8 yards (tackle by Riq Woolen),2.26,2.79,13.0,2023,181
1.0,13:27,2.0,2.0,SEA 42,0.0,0.0,Tony Pollard right tackle for no gain (tackle by Bobby Wagner and Jamal Adams),2.79,2.08,13.0,2023,181
1.0,12:54,3.0,2.0,SEA 42,0.0,0.0,Dak Prescott pass complete deep right to Brandin Cooks for 19 yards (tackle by Jamal Adams),2.08,4.04,13.0,2023,181
1.0,12:18,1.0,10.0,SEA 23,0.0,0.0,CeeDee Lamb left end for 6 yards (tackle by Quandre Diggs),4.04,4.38,13.0,2023,181
1.0,11:46,2.0,4.0,SEA 17,0.0,0.0,Dak Prescott pass complete short left to Tony Pollard for 5 yards (tackle by Dre'Mont Jones),4.38,4.78,13.0,2023,181
1.0,11:13,1.0,10.0,SEA 12,0.0,0.0,Dak Prescott pass incomplete short left intended for CeeDee Lamb (defended by Riq Woolen),4.78,4.1,13.0,2023,181
1.0,11:10,2.0,10.0,SEA 12,0.0,0.0,Dak Prescott pass incomplete short left intended for Jake Ferguson (defended by Riq Woolen),4.1,3.12,13.0,2023,181
1.0,10:48,3.0,10.0,SEA 12,0.0,0.0,Dak Prescott pass complete short left to KaVontae Turpin for 10 yards (tackle by Jamal Adams),3.12,6.74,13.0,2023,181
1.0,10:31,1.0,2.0,SEA 2,0.0,0.0,Tony Pollard left tackle for -1 yards (tackle by Bobby Wagner and Nick Bellore),6.74,5.53,13.0,2023,181
1.0,9:55,2.0,3.0,SEA 3,0.0,0.0,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by Devon Witherspoon),5.53,4.72,13.0,2023,181
1.0,9:50,3.0,3.0,SEA 3,0.0,0.0,Dak Prescott sacked by Jordyn Brooks for -9 yards,4.72,2.63,13.0,2023,181
1.0,9:13,4.0,12.0,SEA 12,0.0,3.0,Brandon Aubrey 30 yard field goal good,2.63,3.0,13.0,2023,181
1.0,9:10,,,DAL 35,0.0,3.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
