Quarter,Time,Tm,Detail,CAR,TAM,week,year,game_id
1.0,6:08,Buccaneers,Rachaad White 1 yard rush (Chase McLaughlin kick),0,7,13.0,2023,189
2.0,13:30,Panthers,Eddy Piñeiro 23 yard field goal,3,7,13.0,2023,189
3.0,5:04,Panthers,Chuba Hubbard 1 yard rush (Eddy Piñeiro kick),10,7,13.0,2023,189
,4:54,Buccaneers,Mike Evans 75 yard pass from Baker Mayfield (Chase McLaughlin kick),10,14,13.0,2023,189
4.0,11:36,Buccaneers,Chris Godwin 19 yard rush (Chase McLaughlin kick),10,21,13.0,2023,189
,5:02,Panthers,Chuba Hubbard 1 yard rush (Bryce Young run),18,21,13.0,2023,189
