Unnamed: 0,MIA,WAS,week,year,game_id
First Downs,20,11,13.0,2023,186
Rush-Yds-TDs,34-123-3,28-138-2,13.0,2023,186
Cmp-Att-Yd-TD-INT,19-25-283-2-0,12-23-127-0-1,13.0,2023,186
Sacked-Yards,0-0,3-20,13.0,2023,186
Net Pass Yards,283,107,13.0,2023,186
Total Yards,406,245,13.0,2023,186
Fumbles-Lost,0-0,1-0,13.0,2023,186
Turnovers,0,1,13.0,2023,186
Penalties-Yards,2-15,3-31,13.0,2023,186
Third Down Conv.,7-13,6-14,13.0,2023,186
Fourth Down Conv.,2-2,1-1,13.0,2023,186
Time of Possession,32:16,27:44,13.0,2023,186
