Unnamed: 0,DEN,HOU,week,year,game_id
First Downs,16,14,13.0,2023,184
Rush-Yds-TDs,30-118-1,30-89-1,13.0,2023,184
Cmp-Att-Yd-TD-INT,15-26-186-1-3,17-28-292-1-0,13.0,2023,184
Sacked-Yards,3-22,5-28,13.0,2023,184
Net Pass Yards,164,264,13.0,2023,184
Total Yards,282,353,13.0,2023,184
Fumbles-Lost,0-0,1-0,13.0,2023,184
Turnovers,3,0,13.0,2023,184
Penalties-Yards,2-8,8-81,13.0,2023,184
Third Down Conv.,0-11,4-16,13.0,2023,184
Fourth Down Conv.,3-3,1-1,13.0,2023,184
Time of Possession,26:56,33:04,13.0,2023,184
