Quarter,Time,Down,ToGo,Location,CLE,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Browns to receive the opening kickoff.",,,13.0,2023,190
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,190
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Joe Flacco pass complete short left to Amari Cooper for 6 yards (tackle by Derion Kendrick),0.61,0.87,13.0,2023,190
1.0,14:26,2.0,4.0,CLE 31,0.0,0.0,Jerome Ford right tackle for 2 yards (tackle by Jonah Williams),0.87,0.43,13.0,2023,190
1.0,13:44,3.0,2.0,CLE 33,0.0,0.0,Kareem Hunt up the middle for 6 yards (tackle by Jordan Fuller),0.43,1.53,13.0,2023,190
1.0,13:07,1.0,10.0,CLE 39,0.0,0.0,Jerome Ford up the middle for -4 yards (tackle by Aaron Donald),1.53,0.45,13.0,2023,190
1.0,12:27,2.0,14.0,CLE 35,0.0,0.0,Joe Flacco pass incomplete deep left intended for Cedric Tillman,0.45,-0.23,13.0,2023,190
1.0,12:20,3.0,14.0,CLE 35,0.0,0.0,Joe Flacco pass complete deep left to Amari Cooper for 22 yards (tackle by Ahkello Witherspoon),-0.23,2.72,13.0,2023,190
1.0,11:50,1.0,10.0,LAR 43,0.0,0.0,Joe Flacco pass complete short middle to Jerome Ford for 13 yards (tackle by John Johnson and Ernest Jones),2.72,3.58,13.0,2023,190
1.0,11:08,1.0,10.0,LAR 30,0.0,0.0,Kareem Hunt left tackle for 6 yards (tackle by Byron Young and Jonah Williams),3.58,3.84,13.0,2023,190
1.0,10:26,2.0,4.0,LAR 24,6.0,0.0,"Joe Flacco pass complete short left to Jerome Ford for 24 yards, touchdown. Penalty on Byron Young: Defensive Offside, 5 yards (declined)",3.84,7.0,13.0,2023,190
1.0,10:18,,,LAR 15,7.0,0.0,Dustin Hopkins kicks extra point good,0.0,0.0,13.0,2023,190
1.0,10:18,,,CLE 35,7.0,0.0,"Dustin Hopkins kicks off 59 yards,",0.0,0.61,13.0,2023,190
1.0,10:18,1.0,10.0,LAR 25,7.0,0.0,Kyren Williams right tackle for 8 yards (tackle by Jordan Elliott),0.61,1.14,13.0,2023,190
1.0,9:45,2.0,2.0,LAR 33,7.0,0.0,"Penalty on Jordan Elliott: Encroachment, 5 yards (accepted) (no play)",1.14,1.47,13.0,2023,190
1.0,9:27,1.0,10.0,LAR 38,7.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 12 yards (tackle by Mike Ford),1.47,2.26,13.0,2023,190
1.0,8:54,1.0,10.0,LAR 50,7.0,0.0,"Kyren Williams left end for 6 yards (tackle by Anthony Walker). Penalty on Juan Thornhill: Unnecessary Roughness / Defense, 15 yards (accepted)",2.26,3.64,13.0,2023,190
1.0,8:09,1.0,10.0,CLE 29,7.0,0.0,Kyren Williams up the middle for no gain (tackle by Dalvin Tomlinson),3.64,3.1,13.0,2023,190
1.0,7:24,2.0,10.0,CLE 29,7.0,0.0,Matthew Stafford pass complete short right to Demarcus Robinson for 3 yards (tackle by Mike Ford),3.1,2.81,13.0,2023,190
1.0,6:39,3.0,7.0,CLE 26,7.0,0.0,Matthew Stafford pass incomplete short right intended for Puka Nacua,2.81,1.74,13.0,2023,190
1.0,6:33,4.0,7.0,CLE 26,7.0,3.0,Lucas Havrisik 44 yard field goal good,1.74,3.0,13.0,2023,190
1.0,6:28,,,LAR 35,7.0,3.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,190
1.0,6:28,1.0,10.0,CLE 25,7.0,3.0,Kareem Hunt right end for 4 yards (tackle by Aaron Donald and Ernest Jones),0.61,0.6,13.0,2023,190
1.0,5:49,2.0,6.0,CLE 29,7.0,3.0,Kareem Hunt left tackle for 3 yards (tackle by Byron Young and Ernest Jones),0.6,0.3,13.0,2023,190
1.0,5:07,3.0,3.0,CLE 32,7.0,3.0,Joe Flacco pass incomplete short middle intended for Cedric Tillman (defended by John Johnson),0.3,-1.24,13.0,2023,190
1.0,5:02,4.0,3.0,CLE 32,7.0,3.0,"Corey Bojorquez punts 62 yards, returned by Austin Trammell for 15 yards (tackle by Harrison Bryant)",-1.24,-0.34,13.0,2023,190
1.0,4:48,1.0,10.0,LAR 21,7.0,3.0,Matthew Stafford pass complete short left to Tutu Atwell for 9 yards (tackle by Martin Emerson),0.34,1.02,13.0,2023,190
1.0,4:08,2.0,1.0,LAR 30,7.0,9.0,"Matthew Stafford pass complete deep middle to Puka Nacua for 70 yards, touchdown",1.02,7.0,13.0,2023,190
1.0,3:59,,,CLE 15,7.0,10.0,Lucas Havrisik kicks extra point good,0.0,0.0,13.0,2023,190
1.0,3:59,,,LAR 35,7.0,10.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,190
1.0,3:59,1.0,10.0,CLE 25,7.0,10.0,Joe Flacco pass complete deep middle to Harrison Bryant for 23 yards (tackle by Troy Reeder),0.61,2.13,13.0,2023,190
1.0,3:14,1.0,10.0,CLE 48,7.0,10.0,Joe Flacco pass incomplete short left intended for Amari Cooper,2.13,1.58,13.0,2023,190
1.0,3:09,2.0,10.0,CLE 48,7.0,10.0,Joe Flacco pass complete short left to Jerome Ford for -4 yards (tackle by Derion Kendrick),1.58,0.37,13.0,2023,190
1.0,2:26,3.0,14.0,CLE 44,7.0,10.0,Joe Flacco pass incomplete deep middle intended for Cedric Tillman,0.37,-0.46,13.0,2023,190
1.0,2:19,4.0,14.0,CLE 44,7.0,10.0,"Penalty on Troy Reeder: Encroachment, 5 yards (accepted) (no play)",-0.46,-0.13,13.0,2023,190
1.0,2:19,4.0,9.0,CLE 49,7.0,10.0,"Corey Bojorquez punts 51 yards, touchback.",-0.13,-0.28,13.0,2023,190
1.0,2:12,1.0,10.0,LAR 20,7.0,10.0,Matthew Stafford pass complete short right to Cooper Kupp for 5 yards (tackle by Mike Ford),0.28,0.41,13.0,2023,190
1.0,1:33,2.0,5.0,LAR 25,7.0,10.0,Matthew Stafford pass incomplete deep middle intended for Tutu Atwell,0.41,-0.3,13.0,2023,190
1.0,1:27,3.0,5.0,LAR 25,7.0,10.0,"Penalty on Dalvin Tomlinson: Defensive Offside, 5 yards (accepted) (no play)",-0.3,0.94,13.0,2023,190
1.0,1:27,1.0,10.0,LAR 30,7.0,10.0,Kyren Williams left end for 1 yard (tackle by Jeremiah Owusu-Koramoah and Martin Emerson),0.94,0.53,13.0,2023,190
1.0,0:54,2.0,9.0,LAR 31,7.0,10.0,"Matthew Stafford pass incomplete deep left intended for Tutu Atwell. Penalty on Martin Emerson: Defensive Pass Interference, 41 yards (accepted) (no play)",0.53,3.71,13.0,2023,190
1.0,0:46,1.0,10.0,CLE 28,7.0,10.0,Matthew Stafford pass incomplete deep left intended for Puka Nacua,3.71,3.17,13.0,2023,190
1.0,0:41,2.0,10.0,CLE 28,7.0,10.0,Matthew Stafford pass incomplete short left intended for Kyren Williams,3.17,2.48,13.0,2023,190
1.0,0:36,3.0,10.0,CLE 28,7.0,10.0,Matthew Stafford pass complete short left to Puka Nacua for 3 yards (tackle by Martin Emerson),2.48,1.8,13.0,2023,190
2.0,15:00,4.0,7.0,CLE 25,7.0,10.0,Lucas Havrisik 43 yard field goal no good,1.8,-1.14,13.0,2023,190
2.0,14:56,1.0,10.0,CLE 33,7.0,10.0,Jerome Ford left tackle for no gain (tackle by Ernest Jones and Larrell Murchison),1.14,0.59,13.0,2023,190
2.0,14:14,2.0,10.0,CLE 33,7.0,10.0,Joe Flacco pass complete short right to Elijah Moore for 11 yards,0.59,1.86,13.0,2023,190
2.0,13:33,1.0,10.0,CLE 44,7.0,10.0,Jerome Ford right end for -6 yards (tackle by Bobby Brown),1.86,0.51,13.0,2023,190
2.0,12:53,2.0,16.0,CLE 38,7.0,10.0,Joe Flacco pass complete short middle to Cedric Tillman for 13 yards (tackle by John Johnson and Ernest Jones),0.51,1.55,13.0,2023,190
2.0,12:12,3.0,3.0,LAR 49,7.0,10.0,Kareem Hunt right tackle for -1 yards (tackle by Byron Young and Ernest Jones),1.55,-0.06,13.0,2023,190
2.0,11:33,4.0,4.0,LAR 50,7.0,10.0,"Corey Bojorquez punts 35 yards, fair catch by Austin Trammell at LA-15",-0.06,0.22,13.0,2023,190
2.0,11:24,1.0,10.0,LAR 15,7.0,10.0,Royce Freeman left tackle for no gain (tackle by Ogbonnia Okoronkwo),-0.22,-0.71,13.0,2023,190
2.0,10:41,2.0,10.0,LAR 15,7.0,10.0,Matthew Stafford pass complete short right to Cooper Kupp for 3 yards (tackle by Kahlef Hailassie),-0.71,-1.0,13.0,2023,190
2.0,10:03,3.0,7.0,LAR 18,7.0,10.0,Matthew Stafford pass incomplete short right,-1.0,-2.24,13.0,2023,190
2.0,9:57,4.0,7.0,LAR 18,7.0,10.0,"Ethan Evans punts 53 yards, returned by James Proche for 15 yards (tackle by Ben Skowronek)",-2.24,-1.86,13.0,2023,190
2.0,9:48,1.0,10.0,CLE 44,7.0,10.0,Joe Flacco pass complete short right to Kareem Hunt for no gain (tackle by Ernest Jones and Keir Thomas),1.86,1.32,13.0,2023,190
2.0,9:11,2.0,10.0,CLE 44,7.0,10.0,Joe Flacco pass complete short right to Amari Cooper for 6 yards (tackle by Ahkello Witherspoon),1.32,1.42,13.0,2023,190
2.0,8:32,3.0,4.0,LAR 50,7.0,10.0,Joe Flacco pass incomplete short right intended for Amari Cooper,1.42,-0.06,13.0,2023,190
2.0,8:28,4.0,4.0,LAR 50,7.0,10.0,"Corey Bojorquez punts 39 yards, fair catch by Austin Trammell at LA-11",-0.06,0.37,13.0,2023,190
2.0,8:21,1.0,10.0,LAR 11,7.0,10.0,Matthew Stafford pass complete deep right to Puka Nacua for 20 yards (tackle by Mike Ford),-0.37,1.0,13.0,2023,190
2.0,7:56,1.0,10.0,LAR 31,7.0,10.0,Kyren Williams up the middle for 2 yards (tackle by Martin Emerson and Dalvin Tomlinson),1.0,0.73,13.0,2023,190
2.0,7:28,2.0,8.0,LAR 33,7.0,10.0,Matthew Stafford pass incomplete short right intended for Tyler Higbee,0.73,0.04,13.0,2023,190
2.0,7:21,3.0,8.0,LAR 33,7.0,10.0,Matthew Stafford pass complete short left to Ben Skowronek for 6 yards (tackle by Juan Thornhill),0.04,-0.78,13.0,2023,190
2.0,6:46,4.0,2.0,LAR 39,7.0,10.0,Ethan Evans punts 59 yards downed by Christian Rozeboom,-0.78,0.38,13.0,2023,190
2.0,6:30,1.0,10.0,CLE 2,7.0,10.0,Kareem Hunt up the middle for 1 yard (tackle by Ernest Jones),-0.38,-0.71,13.0,2023,190
2.0,5:49,2.0,9.0,CLE 3,7.0,10.0,Joe Flacco pass incomplete short left intended for Elijah Moore (defended by Derion Kendrick),-0.71,-1.3,13.0,2023,190
