Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
David Montgomery,DET,18,56,1,5.0,34,1.9,22,1.2,0,,13.0,2023,185
Jahmyr Gibbs,DET,8,60,0,1.0,17,2.1,43,5.4,0,,13.0,2023,185
Jared Goff,DET,2,-2,0,0.0,-2,-1.0,0,0.0,0,,13.0,2023,185
Kalif Raymond,DET,1,9,0,,7,7.0,2,2.0,0,,13.0,2023,185
Jameson Williams,DET,1,19,1,1.0,19,19.0,0,0.0,0,,13.0,2023,185
Alvin Kamara,NOR,14,51,2,5.0,20,1.4,31,2.2,1,14.0,13.0,2023,185
Taysom Hill,NOR,13,59,1,3.0,25,1.9,34,2.6,0,,13.0,2023,185
Jamaal Williams,NOR,5,10,0,1.0,4,0.8,6,1.2,0,,13.0,2023,185
Lynn Bowden Jr.,NOR,2,-6,0,1.0,-8,-4.0,2,1.0,0,,13.0,2023,185
Derek Carr,NOR,2,-1,0,0.0,-1,-0.5,0,0.0,0,,13.0,2023,185
