Unnamed: 0,SFO,PHI,week,year,game_id
First Downs,24,23,13.0,2023,191
Rush-Yds-TDs,28-146-2,18-46-1,13.0,2023,191
Cmp-Att-Yd-TD-INT,19-27-314-4-0,28-48-314-1-0,13.0,2023,191
Sacked-Yards,2-4,3-27,13.0,2023,191
Net Pass Yards,310,287,13.0,2023,191
Total Yards,456,333,13.0,2023,191
Fumbles-Lost,1-0,1-0,13.0,2023,191
Turnovers,0,0,13.0,2023,191
Penalties-Yards,5-47,7-47,13.0,2023,191
Third Down Conv.,8-11,8-15,13.0,2023,191
Fourth Down Conv.,1-1,1-2,13.0,2023,191
Time of Possession,28:21,31:39,13.0,2023,191
