Quarter,Time,Down,ToGo,Location,ARI,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Steelers to receive the opening kickoff.",,,13.0,2023,188
1.0,15:00,,,ARI 35,0.0,0.0,"Matt Prater kicks off 70 yards, recovered by Godwin Igwebuike in end zone (tackle by Zeke Turner)",0.0,0.54,13.0,2023,188
1.0,14:55,1.0,10.0,PIT 24,0.0,0.0,Kenny Pickett pass complete short middle to George Pickens for 13 yards (tackle by Jalen Thompson),0.54,1.4,13.0,2023,188
1.0,14:16,1.0,10.0,PIT 37,0.0,0.0,Najee Harris up the middle for 9 yards (tackle by Divaad Wilson),1.4,2.07,13.0,2023,188
1.0,13:35,2.0,1.0,PIT 46,0.0,0.0,Kenny Pickett pass complete deep left to George Pickens for 38 yards (tackle by Jalen Thompson),2.07,4.51,13.0,2023,188
1.0,12:56,1.0,10.0,ARI 16,0.0,0.0,Najee Harris right tackle for 5 yards (tackle by Josh Woods),4.51,4.76,13.0,2023,188
1.0,12:20,2.0,5.0,ARI 11,0.0,0.0,Kenny Pickett pass incomplete short right intended for George Pickens,4.76,3.94,13.0,2023,188
1.0,12:14,3.0,5.0,ARI 11,0.0,0.0,Kenny Pickett pass incomplete short right intended for Pat Freiermuth (defended by Dennis Gardeck),3.94,2.75,13.0,2023,188
1.0,12:04,4.0,5.0,ARI 11,0.0,3.0,Chris Boswell 29 yard field goal good,2.75,3.0,13.0,2023,188
1.0,12:01,,,PIT 35,0.0,3.0,"Chris Boswell kicks off 60 yards, returned by Greg Dortch for 24 yards (tackle by James Pierre and Rodney Williams)",0.0,0.87,13.0,2023,188
1.0,11:56,1.0,10.0,ARI 29,0.0,3.0,James Conner left guard for no gain (tackle by T.J. Watt and Larry Ogunjobi),0.87,0.33,13.0,2023,188
1.0,11:22,2.0,10.0,ARI 29,0.0,3.0,Kyler Murray pass incomplete short middle intended for Marquise Brown (defended by Keeanu Benton),0.33,-0.36,13.0,2023,188
1.0,11:19,3.0,10.0,ARI 29,0.0,3.0,Kyler Murray pass incomplete short right intended for Greg Dortch,-0.36,-1.44,13.0,2023,188
1.0,11:14,4.0,10.0,ARI 29,0.0,3.0,"Blake Gillikin punts 42 yards out of bounds. Penalty on Miles Killebrew: Running Into the Kicker, 5 yards (declined)",-1.44,-0.87,13.0,2023,188
1.0,11:07,1.0,10.0,PIT 29,0.0,3.0,Najee Harris right tackle for 7 yards (tackle by Budda Baker and Jonathan Ledbetter),0.87,1.27,13.0,2023,188
1.0,10:32,2.0,3.0,PIT 36,0.0,3.0,Kenny Pickett scrambles for 1 yard (tackle by Kei'Trel Clark),1.27,0.7,13.0,2023,188
1.0,9:58,3.0,2.0,PIT 37,0.0,3.0,"Kenny Pickett aborted snap, recovered by Kenny Pickett at PIT-31 and returned for -6 yards (tackle by Budda Baker)",0.7,-1.31,13.0,2023,188
1.0,9:26,4.0,8.0,PIT 31,0.0,3.0,"Pressley Harvin punts 44 yards, returned by Greg Dortch for 10 yards (tackle by Miles Killebrew)",-1.31,-1.27,13.0,2023,188
1.0,9:16,1.0,10.0,ARI 35,0.0,3.0,Kyler Murray pass complete short middle to Trey McBride for 13 yards (tackle by Damontae Kazee),1.27,2.13,13.0,2023,188
1.0,8:38,1.0,10.0,ARI 48,0.0,3.0,James Conner left guard for -2 yards (tackle by Alex Highsmith),2.13,1.31,13.0,2023,188
1.0,8:03,2.0,12.0,ARI 46,0.0,3.0,Kyler Murray pass incomplete short middle intended for Elijah Higgins (defended by Larry Ogunjobi),1.31,0.63,13.0,2023,188
1.0,7:59,3.0,12.0,ARI 46,0.0,3.0,"Kyler Murray pass incomplete short left intended for Emari Demercado. Penalty on Elandon Roberts: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.63,2.98,13.0,2023,188
1.0,7:53,1.0,10.0,PIT 39,0.0,3.0,"Penalty on Trey McBride: False Start, 5 yards (accepted) (no play)",2.98,2.65,13.0,2023,188
1.0,7:53,1.0,15.0,PIT 44,0.0,3.0,James Conner up the middle for no gain (tackle by T.J. Watt and Keeanu Benton),2.65,1.77,13.0,2023,188
1.0,7:10,2.0,15.0,PIT 44,0.0,3.0,Kyler Murray pass complete short middle to Rondale Moore for 6 yards (tackle by Elandon Roberts),1.77,1.88,13.0,2023,188
1.0,6:30,3.0,9.0,PIT 38,0.0,3.0,Kyler Murray pass complete short middle to Trey McBride for 5 yards (tackle by Minkah Fitzpatrick),1.88,1.18,13.0,2023,188
1.0,5:48,4.0,4.0,PIT 33,3.0,3.0,Matt Prater 51 yard field goal good,1.18,3.0,13.0,2023,188
1.0,5:44,,,ARI 35,3.0,3.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,188
1.0,5:44,1.0,10.0,PIT 25,3.0,3.0,Jaylen Warren right guard for 7 yards (tackle by Phil Hoskins and Krys Barnes),0.61,1.01,13.0,2023,188
1.0,5:10,2.0,3.0,PIT 32,3.0,3.0,Kenny Pickett pass complete short right to Diontae Johnson for 5 yards,1.01,1.4,13.0,2023,188
1.0,4:41,1.0,10.0,PIT 37,3.0,3.0,Kenny Pickett pass complete short left to Jaylen Warren for -4 yards (tackle by Josh Woods),1.4,0.32,13.0,2023,188
1.0,4:00,2.0,14.0,PIT 33,3.0,3.0,Jaylen Warren left guard for 9 yards (tackle by Garrett Williams and BJ Ojulari),0.32,0.83,13.0,2023,188
1.0,3:27,3.0,5.0,PIT 42,3.0,3.0,Kenny Pickett pass complete short right to Diontae Johnson for no gain (tackle by Josh Woods and Owen Pappoe),0.83,-0.59,13.0,2023,188
1.0,2:50,4.0,5.0,PIT 42,3.0,3.0,"Pressley Harvin punts 49 yards, returned by Greg Dortch for 7 yards (tackle by James Pierre and Mark Robinson)",-0.59,0.14,13.0,2023,188
1.0,2:37,1.0,10.0,ARI 16,3.0,3.0,James Conner up the middle for 6 yards (tackle by Elandon Roberts and Mykal Walker),-0.14,0.28,13.0,2023,188
1.0,2:01,2.0,4.0,ARI 22,3.0,3.0,Kyler Murray pass incomplete short right intended for Greg Dortch,0.28,-0.57,13.0,2023,188
1.0,1:54,3.0,4.0,ARI 22,3.0,3.0,Kyler Murray sacked by Alex Highsmith for -7 yards,-0.57,-2.44,13.0,2023,188
1.0,1:16,4.0,11.0,ARI 15,3.0,3.0,"Blake Gillikin punts 59 yards, returned by Calvin Austin for 11 yards (tackle by Geoff Swaim)",-2.44,-1.4,13.0,2023,188
1.0,1:07,1.0,10.0,PIT 37,3.0,3.0,Najee Harris right tackle for 3 yards (tackle by Kei'Trel Clark),1.4,1.26,13.0,2023,188
1.0,0:34,2.0,7.0,PIT 40,3.0,3.0,Najee Harris right tackle for 1 yard (tackle by Kevin Strong and Josh Woods),1.26,0.7,13.0,2023,188
2.0,15:00,3.0,6.0,PIT 41,3.0,3.0,Kenny Pickett pass incomplete short right intended for Jaylen Warren (defended by BJ Ojulari),0.7,-0.65,13.0,2023,188
2.0,14:56,4.0,6.0,PIT 41,3.0,3.0,"Pressley Harvin punts 40 yards, fair catch by Greg Dortch at ARI-19. Penalty on Miles Killebrew: Fair Catch Interference, 15 yards (accepted)",-0.65,-1.2,13.0,2023,188
2.0,14:48,1.0,10.0,ARI 34,3.0,3.0,"Kyler Murray scrambles right end for 9 yards (tackle by Mark Robinson). Penalty on Damontae Kazee: Defensive Holding, 5 yards (accepted)",1.2,2.13,13.0,2023,188
2.0,14:21,1.0,10.0,ARI 48,3.0,3.0,James Conner left guard for -2 yards (tackle by Nick Herbig),2.13,1.31,13.0,2023,188
2.0,13:44,2.0,12.0,ARI 46,3.0,3.0,Kyler Murray left guard for -2 yards (tackle by T.J. Watt),1.31,0.37,13.0,2023,188
2.0,13:01,3.0,14.0,ARI 44,3.0,3.0,Kyler Murray pass incomplete deep middle intended for Rondale Moore,0.37,-0.46,13.0,2023,188
2.0,12:54,4.0,14.0,ARI 44,3.0,3.0,"Blake Gillikin punts 56 yards, touchback.",-0.46,-0.28,13.0,2023,188
2.0,12:44,1.0,10.0,PIT 20,3.0,3.0,Najee Harris right guard for 6 yards (tackle by Roy Lopez and Josh Woods),0.28,0.54,13.0,2023,188
2.0,12:05,2.0,4.0,PIT 26,3.0,3.0,Najee Harris right tackle for no gain (tackle by Josh Woods and Roy Lopez) (no play),0.54,-0.13,13.0,2023,188
2.0,11:39,2.0,9.0,PIT 21,3.0,3.0,"Kenny Pickett pass incomplete deep right intended for George Pickens. Penalty on Divaad Wilson: Defensive Pass Interference, 16 yards (accepted) (no play)",-0.13,1.4,13.0,2023,188
2.0,11:34,1.0,10.0,PIT 37,3.0,3.0,Jaylen Warren left tackle for 18 yards (tackle by Budda Baker and Jalen Thompson),1.4,2.59,13.0,2023,188
2.0,10:51,1.0,10.0,ARI 45,3.0,3.0,Jaylen Warren left tackle for 2 yards (tackle by Budda Baker),2.59,2.31,13.0,2023,188
2.0,10:14,2.0,8.0,ARI 43,3.0,3.0,Kenny Pickett pass complete short left to George Pickens for 10 yards (tackle by Divaad Wilson),2.31,3.38,13.0,2023,188
2.0,9:40,1.0,10.0,ARI 33,3.0,3.0,Najee Harris left tackle for 11 yards (tackle by Jalen Thompson),3.38,4.11,13.0,2023,188
2.0,9:00,1.0,10.0,ARI 22,3.0,3.0,Jaylen Warren right end for 5 yards (tackle by Krys Barnes and Jalen Thompson),4.11,4.29,13.0,2023,188
2.0,8:20,2.0,5.0,ARI 17,3.0,3.0,Najee Harris left tackle for 2 yards (tackle by Kevin Strong),4.29,3.93,13.0,2023,188
2.0,7:38,3.0,3.0,ARI 15,3.0,3.0,Kenny Pickett pass complete short middle to Pat Freiermuth for 8 yards (tackle by Kevin Strong and Budda Baker),3.93,5.6,13.0,2023,188
2.0,6:55,1.0,7.0,ARI 7,3.0,3.0,Najee Harris right tackle for 2 yards (tackle by Jonathan Ledbetter and Dante Stills),5.6,5.15,13.0,2023,188
2.0,6:12,2.0,5.0,ARI 5,3.0,3.0,Najee Harris left guard for 2 yards (tackle by Dante Stills and Jonathan Ledbetter),5.15,4.72,13.0,2023,188
2.0,5:31,3.0,3.0,ARI 3,3.0,3.0,Kenny Pickett scrambles up the middle for 2 yards (tackle by Jonathan Ledbetter and Josh Woods),4.72,3.55,13.0,2023,188
2.0,4:58,4.0,1.0,ARI 1,3.0,3.0,Najee Harris up the middle for no gain (tackle by Kevin Strong and Jesse Luketa),3.55,0.38,13.0,2023,188
2.0,4:51,1.0,10.0,ARI 1,3.0,3.0,Kyler Murray pass complete short right to Geoff Swaim for 1 yard (tackle by Mykal Walker),-0.38,-0.71,13.0,2023,188
2.0,4:25,2.0,9.0,ARI 2,3.0,3.0,James Conner up the middle for 6 yards (tackle by Elandon Roberts and Minkah Fitzpatrick),-0.71,-0.6,13.0,2023,188
2.0,3:57,3.0,3.0,ARI 8,3.0,3.0,Kyler Murray pass complete short middle to Elijah Higgins for 21 yards (tackle by Trenton Thompson),-0.6,0.87,13.0,2023,188
2.0,3:19,1.0,10.0,ARI 29,3.0,3.0,James Conner up the middle for no gain (tackle by Armon Watts and Alex Highsmith),0.87,0.33,13.0,2023,188
2.0,2:44,2.0,10.0,ARI 29,3.0,3.0,James Conner left end for 4 yards (tackle by Damontae Kazee),0.33,0.17,13.0,2023,188
2.0,2:05,3.0,6.0,ARI 33,3.0,3.0,Michael Carter right guard for 19 yards (tackle by Levi Wallace),0.17,2.39,13.0,2023,188
2.0,1:58,1.0,10.0,PIT 48,3.0,3.0,Kyler Murray pass incomplete short left intended for Marquise Brown,2.39,1.85,13.0,2023,188
2.0,1:52,2.0,10.0,PIT 48,3.0,3.0,Michael Carter right guard for 4 yards (tackle by Isaiahh Loudermilk and Damontae Kazee),1.85,1.69,13.0,2023,188
2.0,1:47,,,,,,Timeout #1 by Pittsburgh Steelers,,,13.0,2023,188
2.0,1:47,3.0,6.0,PIT 44,3.0,3.0,Kyler Murray pass complete deep middle to Trey McBride for 17 yards (tackle by Mykal Walker),1.69,3.78,13.0,2023,188
2.0,1:26,1.0,10.0,PIT 27,3.0,3.0,James Conner left guard for 3 yards (tackle by Alex Highsmith and T.J. Watt),3.78,3.64,13.0,2023,188
2.0,1:20,,,,,,Timeout #2 by Pittsburgh Steelers,,,13.0,2023,188
2.0,1:20,2.0,7.0,PIT 24,3.0,3.0,"James Conner left tackle for no gain. Penalty on Trey McBride: Offensive Holding, 10 yards (accepted) (no play)",3.64,2.29,13.0,2023,188
2.0,1:14,2.0,17.0,PIT 34,3.0,3.0,Kyler Murray pass complete short right to Trey McBride for 12 yards (tackle by Damontae Kazee),2.29,3.2,13.0,2023,188
2.0,1:07,,,,,,Timeout #3 by Pittsburgh Steelers,,,13.0,2023,188
2.0,1:07,3.0,5.0,PIT 22,3.0,3.0,Kyler Murray pass complete short middle to Trey McBride for 15 yards (tackle by Mykal Walker),3.2,5.6,13.0,2023,188
2.0,0:30,1.0,7.0,PIT 7,3.0,3.0,James Conner right guard for 2 yards (tackle by Joey Porter and Mark Robinson),5.6,5.15,13.0,2023,188
2.0,0:24,,,,,,Timeout #1 by Arizona Cardinals,,,13.0,2023,188
2.0,0:24,2.0,5.0,PIT 5,3.0,3.0,"Kyler Murray pass complete short middle to Trey McBride for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Kyler Murray pass incomplete short middle intended for Trey McBride",5.15,4.26,13.0,2023,188
2.0,0:20,3.0,5.0,PIT 5,9.0,3.0,"Kyler Murray pass complete short left to Trey McBride for 5 yards, touchdown",4.26,7.0,13.0,2023,188
2.0,0:15,,,PIT 15,10.0,3.0,Matt Prater kicks extra point good,0.0,0.0,13.0,2023,188
2.0,0:15,,,ARI 35,10.0,3.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,188
2.0,0:15,1.0,10.0,PIT 25,10.0,3.0,Mitchell Trubisky kneels for -1 yards,0.61,-0.07,13.0,2023,188
3.0,15:00,,,PIT 35,10.0,3.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,188
3.0,15:00,1.0,10.0,ARI 25,10.0,3.0,Kyler Murray pass incomplete short right intended for James Conner (defended by T.J. Watt),0.61,0.06,13.0,2023,188
3.0,14:57,2.0,10.0,ARI 25,10.0,3.0,James Conner left guard for 6 yards (tackle by Mark Robinson),0.06,0.17,13.0,2023,188
3.0,14:19,3.0,4.0,ARI 31,10.0,3.0,Kyler Murray pass incomplete short left intended for Marquise Brown,0.17,-1.31,13.0,2023,188
3.0,14:16,4.0,4.0,ARI 31,10.0,3.0,Blake Gillikin punts 62 yards downed by Joey Blount,-1.31,0.38,13.0,2023,188
3.0,14:04,1.0,10.0,PIT 7,10.0,3.0,Najee Harris right tackle for 1 yard (tackle by Divaad Wilson and Josh Woods),-0.38,-0.71,13.0,2023,188
3.0,13:22,,,,,,Timeout #1 by Pittsburgh Steelers,,,13.0,2023,188
3.0,13:22,2.0,9.0,PIT 8,10.0,3.0,Mitchell Trubisky pass incomplete short middle intended for Connor Heyward,-0.71,-1.3,13.0,2023,188
3.0,13:18,3.0,9.0,PIT 8,10.0,3.0,Mitchell Trubisky pass complete short right to Pat Freiermuth for 9 yards (tackle by Josh Woods and Budda Baker),-1.3,-0.06,13.0,2023,188
3.0,12:53,1.0,10.0,PIT 17,10.0,3.0,Jaylen Warren left tackle for 4 yards (tackle by Roy Lopez and Jalen Thompson),-0.06,0.08,13.0,2023,188
3.0,12:12,2.0,6.0,PIT 21,10.0,3.0,Jaylen Warren left tackle for 8 yards (tackle by Roy Lopez and Divaad Wilson),0.08,0.87,13.0,2023,188
3.0,11:34,1.0,10.0,PIT 29,10.0,3.0,Jaylen Warren left end for no gain (no play),0.87,0.54,13.0,2023,188
3.0,11:10,1.0,15.0,PIT 24,10.0,3.0,Mitchell Trubisky pass complete short right to Allen Robinson for 6 yards (tackle by Kei'Trel Clark),0.54,0.46,13.0,2023,188
3.0,10:33,2.0,9.0,PIT 30,10.0,3.0,"Mitchell Trubisky aborted snap, recovered by Dante Stills at PIT-21",0.46,-4.17,13.0,2023,188
3.0,10:29,1.0,10.0,PIT 21,10.0,3.0,Kyler Murray pass incomplete deep left intended for James Conner,4.17,3.63,13.0,2023,188
3.0,10:23,2.0,10.0,PIT 21,10.0,3.0,Kyler Murray left end for 9 yards (tackle by Minkah Fitzpatrick),3.63,4.49,13.0,2023,188
3.0,10:02,3.0,1.0,PIT 12,10.0,3.0,James Conner up the middle for 3 yards (tackle by Alex Highsmith),4.49,5.14,13.0,2023,188
3.0,9:25,1.0,9.0,PIT 9,10.0,3.0,Kyler Murray sacked by and T.J. Watt for -6 yards and Alex Highsmith for -6 yards,5.14,3.46,13.0,2023,188
3.0,8:47,2.0,15.0,PIT 15,10.0,3.0,James Conner right end for 7 yards (tackle by Minkah Fitzpatrick and Joey Porter),3.46,3.58,13.0,2023,188
3.0,8:05,3.0,8.0,PIT 8,10.0,3.0,"Kyler Murray pass incomplete short right intended for Greg Dortch. Penalty on Joey Porter: Defensive Pass Interference, 7 yards (accepted) (no play)",3.58,6.97,13.0,2023,188
3.0,7:57,1.0,1.0,PIT 1,10.0,3.0,James Conner up the middle for no gain (tackle by Isaiahh Loudermilk and Mark Robinson),6.97,5.91,13.0,2023,188
3.0,7:21,2.0,1.0,PIT 1,16.0,3.0,"James Conner up the middle for 1 yard, touchdown",5.91,7.0,13.0,2023,188
3.0,7:18,,,PIT 15,17.0,3.0,Matt Prater kicks extra point good,0.0,0.0,13.0,2023,188
3.0,7:18,,,ARI 35,17.0,3.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,188
3.0,7:18,1.0,10.0,PIT 25,17.0,3.0,Mitchell Trubisky pass complete short middle to Pat Freiermuth for 12 yards (tackle by BJ Ojulari and Josh Woods),0.61,1.4,13.0,2023,188
3.0,6:45,1.0,10.0,PIT 37,17.0,3.0,Najee Harris right tackle for 11 yards (tackle by BJ Ojulari and Krys Barnes),1.4,2.13,13.0,2023,188
3.0,6:03,1.0,10.0,PIT 48,17.0,3.0,Mitchell Trubisky pass incomplete deep middle intended for Diontae Johnson,2.13,1.58,13.0,2023,188
3.0,5:56,2.0,10.0,PIT 48,17.0,3.0,Najee Harris right tackle for 1 yard (tackle by Kevin Strong),1.58,1.02,13.0,2023,188
3.0,5:17,3.0,9.0,PIT 49,17.0,3.0,"Penalty on Diontae Johnson: False Start, 5 yards (accepted) (no play)",1.02,0.37,13.0,2023,188
3.0,4:52,3.0,14.0,PIT 44,17.0,3.0,Mitchell Trubisky pass complete deep right to George Pickens for 25 yards,0.37,3.51,13.0,2023,188
3.0,4:14,1.0,10.0,ARI 31,17.0,3.0,Jaylen Warren right end for 4 yards (tackle by Josh Woods),3.51,3.51,13.0,2023,188
3.0,3:36,2.0,6.0,ARI 27,17.0,3.0,Mitchell Trubisky pass incomplete short left intended for Jaylen Warren (defended by Zaven Collins),3.51,2.81,13.0,2023,188
3.0,3:28,3.0,6.0,ARI 27,17.0,3.0,Mitchell Trubisky pass incomplete deep middle intended for Connor Heyward,2.81,1.7,13.0,2023,188
3.0,3:23,4.0,6.0,ARI 27,17.0,3.0,Chris Boswell 45 yard field goal no good,1.7,-1.27,13.0,2023,188
3.0,3:20,1.0,10.0,ARI 35,17.0,3.0,Kyler Murray pass complete short left to Geoff Swaim for 9 yards (tackle by Mark Robinson),1.27,1.94,13.0,2023,188
3.0,2:38,2.0,1.0,ARI 44,17.0,3.0,"Penalty on Trey McBride: False Start, 5 yards (accepted) (no play)",1.94,1.26,13.0,2023,188
3.0,2:15,2.0,6.0,ARI 39,17.0,3.0,"Kyler Murray for -1 yards. Kyler Murray fumbles (forced by Keeanu Benton), recovered by James Conner at ARI-37",1.26,0.3,13.0,2023,188
3.0,1:32,3.0,8.0,ARI 37,17.0,3.0,Kyler Murray scrambles right end for 8 yards (tackle by Minkah Fitzpatrick),0.3,1.93,13.0,2023,188
3.0,1:17,1.0,10.0,ARI 45,17.0,3.0,Michael Carter right tackle for 1 yard (tackle by Alex Highsmith),1.93,1.52,13.0,2023,188
3.0,0:44,2.0,9.0,ARI 46,17.0,3.0,"Kyler Murray aborted snap, recovered by Rondale Moore at ARI-43",1.52,0.43,13.0,2023,188
4.0,15:00,3.0,12.0,ARI 43,17.0,3.0,Kyler Murray pass complete deep right to Greg Dortch for 19 yards (tackle by Joey Porter),0.43,3.05,13.0,2023,188
4.0,14:39,1.0,10.0,PIT 38,17.0,3.0,Michael Carter right tackle for 1 yard (tackle by Cameron Heyward),3.05,2.64,13.0,2023,188
4.0,13:59,2.0,9.0,PIT 37,17.0,3.0,James Conner left tackle for 4 yards (tackle by Mykal Walker and Mark Robinson),2.64,2.48,13.0,2023,188
4.0,13:16,3.0,5.0,PIT 33,17.0,3.0,"Kyler Murray pass complete deep right to Rondale Moore for no gain, touchdown. Penalty on Carter O'Donnell: Offensive Holding, 10 yards (accepted) (no play)",2.48,1.16,13.0,2023,188
4.0,13:08,3.0,15.0,PIT 43,17.0,3.0,Kyler Murray pass complete short left to Trey McBride for 6 yards (tackle by Levi Wallace and Trenton Thompson),1.16,0.79,13.0,2023,188
4.0,12:28,4.0,9.0,PIT 37,17.0,3.0,Blake Gillikin punts 33 yards downed by Dan Chisena,0.79,0.38,13.0,2023,188
4.0,12:19,1.0,10.0,PIT 4,17.0,3.0,Najee Harris right tackle for -1 yards (tackle by Budda Baker),-0.38,-0.85,13.0,2023,188
4.0,11:37,2.0,11.0,PIT 3,17.0,3.0,Mitchell Trubisky scrambles right end for 6 yards (tackle by Josh Woods),-0.85,-0.84,13.0,2023,188
4.0,10:54,3.0,5.0,PIT 9,17.0,3.0,Mitchell Trubisky pass incomplete short left intended for Pat Freiermuth,-0.84,-2.49,13.0,2023,188
4.0,10:49,4.0,5.0,PIT 9,17.0,3.0,"Pressley Harvin punts 46 yards, returned by Greg Dortch for 7 yards (tackle by Miles Killebrew). Penalty on Miles Killebrew: Offensive Facemask, 15 yards (accepted)",-2.49,-3.38,13.0,2023,188
4.0,10:36,1.0,10.0,PIT 33,17.0,3.0,Kyler Murray pass complete short left to Trey McBride for 16 yards (tackle by Mykal Walker),3.38,4.44,13.0,2023,188
4.0,9:58,1.0,10.0,PIT 17,17.0,3.0,James Conner left guard for 4 yards (tackle by Mykal Walker),4.44,4.5,13.0,2023,188
4.0,9:15,2.0,6.0,PIT 13,17.0,3.0,James Conner left tackle for 4 yards (tackle by Larry Ogunjobi and Mykal Walker),4.5,4.57,13.0,2023,188
4.0,8:33,3.0,2.0,PIT 9,23.0,3.0,"James Conner left tackle for 9 yards, touchdown",4.57,7.0,13.0,2023,188
4.0,8:28,,,PIT 15,24.0,3.0,Matt Prater kicks extra point good,0.0,0.0,13.0,2023,188
4.0,8:28,,,ARI 35,24.0,3.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,188
4.0,8:28,1.0,10.0,PIT 25,24.0,3.0,Mitchell Trubisky pass complete short right to Allen Robinson for 8 yards (tackle by Garrett Williams),0.61,1.14,13.0,2023,188
4.0,8:09,2.0,2.0,PIT 33,24.0,3.0,Mitchell Trubisky pass complete short middle to Najee Harris for 4 yards (tackle by Krys Barnes),1.14,1.4,13.0,2023,188
4.0,7:45,1.0,10.0,PIT 37,24.0,3.0,Najee Harris up the middle for 3 yards (tackle by Zaven Collins),1.4,1.26,13.0,2023,188
4.0,7:18,2.0,7.0,PIT 40,24.0,3.0,Mitchell Trubisky pass complete short middle to Najee Harris for 10 yards (tackle by Garrett Williams),1.26,2.32,13.0,2023,188
4.0,6:55,1.0,10.0,ARI 49,24.0,3.0,Mitchell Trubisky pass incomplete short middle intended for Najee Harris (defended by Dennis Gardeck),2.32,1.71,13.0,2023,188
4.0,6:49,2.0,10.0,ARI 50,24.0,3.0,Mitchell Trubisky pass complete short right to Allen Robinson for 5 yards (tackle by Garrett Williams),1.71,1.69,13.0,2023,188
4.0,6:27,3.0,5.0,ARI 45,24.0,3.0,Mitchell Trubisky pass complete short right to Calvin Austin for 10 yards,1.69,3.25,13.0,2023,188
4.0,5:54,1.0,10.0,ARI 35,24.0,3.0,"Penalty on Jonathan Ledbetter: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.25,3.98,13.0,2023,188
4.0,5:33,1.0,5.0,ARI 30,24.0,3.0,Mitchell Trubisky pass complete deep middle to Diontae Johnson for 26 yards (tackle by Budda Baker),3.98,6.28,13.0,2023,188
4.0,5:09,1.0,4.0,ARI 4,24.0,3.0,Jaylen Warren left tackle for 2 yards (tackle by Jalen Thompson and Josh Woods),6.28,5.72,13.0,2023,188
4.0,4:30,2.0,2.0,ARI 2,24.0,9.0,"Mitchell Trubisky pass complete short left to Diontae Johnson for 2 yards, touchdown",5.72,7.0,13.0,2023,188
4.0,4:25,,,ARI 15,24.0,10.0,Chris Boswell kicks extra point good,0.0,0.0,13.0,2023,188
4.0,4:25,,,PIT 35,24.0,10.0,"Chris Boswell kicks off 60 yards,",0.0,0.61,13.0,2023,188
4.0,4:25,1.0,10.0,ARI 25,24.0,10.0,James Conner right end for 29 yards (tackle by Trenton Thompson),0.61,2.52,13.0,2023,188
4.0,3:38,1.0,10.0,PIT 46,24.0,10.0,James Conner left guard for 1 yard (tackle by Larry Ogunjobi and T.J. Watt),2.52,2.11,13.0,2023,188
4.0,3:33,,,,,,Timeout #2 by Pittsburgh Steelers,,,13.0,2023,188
4.0,3:33,2.0,9.0,PIT 45,24.0,10.0,"Penalty on PIT: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",2.11,2.79,13.0,2023,188
4.0,3:33,2.0,4.0,PIT 40,24.0,10.0,James Conner left tackle for -2 yards (tackle by Mykal Walker and Alex Highsmith),2.79,1.82,13.0,2023,188
4.0,3:28,,,,,,Timeout #3 by Pittsburgh Steelers,,,13.0,2023,188
4.0,3:28,3.0,6.0,PIT 42,24.0,10.0,James Conner right end for 10 yards (tackle by Mark Robinson),1.82,3.45,13.0,2023,188
4.0,2:41,1.0,10.0,PIT 32,24.0,10.0,James Conner left tackle for 1 yard (tackle by Isaiahh Loudermilk and Armon Watts),3.45,3.04,13.0,2023,188
4.0,2:00,2.0,9.0,PIT 31,24.0,10.0,James Conner for 11 yards (tackle by Joey Porter and Mykal Walker),3.04,4.24,13.0,2023,188
