Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Brock Purdy,SFO,0,0,13.0,2023,191
Christian McCaffrey,SFO,0,0,13.0,2023,191
Deebo Samuel,SFO,0,0,13.0,2023,191
Elijah Mitchell,SFO,0,0,13.0,2023,191
Jordan Mason,SFO,0,0,13.0,2023,191
George Kittle,SFO,0,0,13.0,2023,191
Brandon Aiyuk,SFO,0,0,13.0,2023,191
Jauan Jennings,SFO,0,0,13.0,2023,191
Sam Darnold,SFO,0,0,13.0,2023,191
Jalen Hurts,PHI,1,0,13.0,2023,191
Marcus Mariota,PHI,0,0,13.0,2023,191
D'Andre Swift,PHI,0,0,13.0,2023,191
Kenneth Gainwell,PHI,0,0,13.0,2023,191
Boston Scott,PHI,0,0,13.0,2023,191
A.J. Brown,PHI,0,0,13.0,2023,191
DeVonta Smith,PHI,0,0,13.0,2023,191
Quez Watkins,PHI,0,0,13.0,2023,191
Albert Okwuegbunam,PHI,0,0,13.0,2023,191
