Unnamed: 0,ATL,NYJ,week,year,game_id
First Downs,15,14,13.0,2023,182
Rush-Yds-TDs,34-90-0,25-62-0,13.0,2023,182
Cmp-Att-Yd-TD-INT,12-27-121-1-0,19-38-214-0-1,13.0,2023,182
Sacked-Yards,3-17,4-17,13.0,2023,182
Net Pass Yards,104,197,13.0,2023,182
Total Yards,194,259,13.0,2023,182
Fumbles-Lost,3-0,4-2,13.0,2023,182
Turnovers,0,3,13.0,2023,182
Penalties-Yards,6-55,11-71,13.0,2023,182
Third Down Conv.,4-14,2-15,13.0,2023,182
Fourth Down Conv.,0-0,2-3,13.0,2023,182
Time of Possession,29:34,30:26,13.0,2023,182
