0,1,week,year,game_id
Won Toss,49ers (deferred),13.0,2023,191
Roof,outdoors,13.0,2023,191
Surface,grass,13.0,2023,191
Duration,3:08,13.0,2023,191
Attendance,69879,13.0,2023,191
Weather,"52 degrees, relative humidity 95%, wind 44 mph",13.0,2023,191
Vegas Line,San Francisco 49ers -3.0,13.0,2023,191
Over/Under,48.0 (over),13.0,2023,191
