Quarter,Time,Down,ToGo,Location,DET,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Lions to receive the opening kickoff.",,,13.0,2023,185
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 62 yards, returned by Khalil Dorsey for 17 yards (tackle by Zack Baun and Johnathan Abram)",0.0,0.28,13.0,2023,185
1.0,14:57,1.0,10.0,DET 20,0.0,0.0,"Penalty on Jonah Jackson: False Start, 5 yards (accepted) (no play)",0.28,-0.31,13.0,2023,185
1.0,14:57,1.0,15.0,DET 15,0.0,0.0,David Montgomery left tackle for 4 yards (tackle by Cameron Jordan and Khalen Saunders),-0.31,-0.46,13.0,2023,185
1.0,14:18,2.0,11.0,DET 19,0.0,0.0,David Montgomery right guard for 4 yards (tackle by Nathan Shepherd and Jordan Howden),-0.46,-0.56,13.0,2023,185
1.0,13:39,3.0,7.0,DET 23,0.0,0.0,David Montgomery left guard for 9 yards (tackle by Alontae Taylor and Paulson Adebo),-0.56,1.07,13.0,2023,185
1.0,13:03,1.0,10.0,DET 32,0.0,0.0,David Montgomery left tackle for 4 yards (tackle by Bryan Bresee),1.07,1.07,13.0,2023,185
1.0,12:32,2.0,6.0,DET 36,0.0,0.0,"Jared Goff pass complete short left to Jameson Williams for 11 yards (tackle by Paulson Adebo). Penalty on Carl Granderson: Roughing the Passer, 15 yards (accepted) . Penalty on Carl Granderson: Defensive Pass Interference, 15 yards (declined)",1.07,3.05,13.0,2023,185
1.0,12:03,1.0,10.0,NOR 38,0.0,0.0,Jahmyr Gibbs right tackle for 36 yards (tackle by Paulson Adebo),3.05,6.74,13.0,2023,185
1.0,11:19,1.0,2.0,NOR 2,6.0,0.0,"David Montgomery right end for 2 yards, touchdown",6.74,7.0,13.0,2023,185
1.0,11:15,,,NOR 15,7.0,0.0,Riley Patterson kicks extra point good,0.0,0.0,13.0,2023,185
1.0,11:15,,,DET 35,7.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,185
1.0,11:15,1.0,10.0,NOR 25,7.0,0.0,Derek Carr pass short middle intended for Juwan Johnson is intercepted by Brian Branch at NO-30 and returned for 13 yards (tackle by James Hurst),0.61,-4.44,13.0,2023,185
1.0,11:04,1.0,10.0,NOR 17,7.0,0.0,Jahmyr Gibbs left end for 4 yards (tackle by Isaac Yiadom),4.44,4.5,13.0,2023,185
1.0,10:32,2.0,6.0,NOR 13,7.0,0.0,Jared Goff pass incomplete short right intended for Josh Reynolds,4.5,3.68,13.0,2023,185
1.0,10:28,3.0,6.0,NOR 13,13.0,0.0,"Jared Goff pass complete short middle to Sam LaPorta for 13 yards, touchdown",3.68,7.0,13.0,2023,185
1.0,10:24,,,NOR 15,14.0,0.0,Riley Patterson kicks extra point good,0.0,0.0,13.0,2023,185
1.0,10:24,,,DET 35,14.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,185
1.0,10:24,1.0,10.0,NOR 25,14.0,0.0,Jamaal Williams left guard for -1 yards (tackle by Aidan Hutchinson and Jack Campbell),0.61,-0.07,13.0,2023,185
1.0,9:53,2.0,11.0,NOR 24,14.0,0.0,Derek Carr pass incomplete short right intended for Alvin Kamara (defended by Jalen Reeves-Maybin),-0.07,-0.76,13.0,2023,185
1.0,9:48,3.0,11.0,NOR 24,14.0,0.0,Derek Carr pass incomplete short right intended for A.T. Perry (defended by Cameron Sutton),-0.76,-1.77,13.0,2023,185
1.0,9:44,4.0,11.0,NOR 24,14.0,0.0,"Lou Hedley punts 41 yards, returned by Kalif Raymond for 11 yards (tackle by Adam Prentice and J.T. Gray)",-1.77,-1.99,13.0,2023,185
1.0,9:34,1.0,10.0,DET 46,14.0,0.0,Jahmyr Gibbs left tackle for no gain (tackle by Nathan Shepherd),1.99,1.45,13.0,2023,185
1.0,8:57,2.0,10.0,DET 46,14.0,0.0,Jared Goff pass complete short right to Sam LaPorta for 29 yards (tackle by Isaac Yiadom),1.45,3.91,13.0,2023,185
1.0,8:21,1.0,10.0,NOR 25,20.0,0.0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 25 yards, touchdown",3.91,7.0,13.0,2023,185
1.0,8:15,,,NOR 15,21.0,0.0,Riley Patterson kicks extra point good,0.0,0.0,13.0,2023,185
1.0,8:15,,,DET 35,21.0,0.0,"Jack Fox kicks off 58 yards, returned by Lynn Bowden for 18 yards (tackle by Jalen Reeves-Maybin and Craig Reynolds)",0.0,0.61,13.0,2023,185
1.0,8:10,1.0,10.0,NOR 25,21.0,0.0,Taysom Hill left guard for 7 yards (tackle by Kerby Joseph),0.61,1.01,13.0,2023,185
1.0,7:37,2.0,3.0,NOR 32,21.0,0.0,Alvin Kamara right end for -2 yards (tackle by Jack Campbell),1.01,0.04,13.0,2023,185
1.0,7:00,3.0,5.0,NOR 30,21.0,0.0,Derek Carr sacked by Bruce Irvin for -10 yards,0.04,-2.03,13.0,2023,185
1.0,6:17,4.0,15.0,NOR 20,21.0,0.0,"Lou Hedley punts 49 yards, recovered by Kalif Raymond at DET-32 (tackle by Taysom Hill)",-2.03,-1.2,13.0,2023,185
1.0,6:08,1.0,10.0,DET 34,21.0,0.0,Jared Goff pass complete short right to David Montgomery for -1 yards (tackle by Cameron Jordan),1.2,0.52,13.0,2023,185
1.0,5:30,2.0,11.0,DET 33,21.0,0.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,0.52,-0.16,13.0,2023,185
1.0,5:25,3.0,11.0,DET 33,21.0,0.0,Jared Goff sacked by Zack Baun for -8 yards,-0.16,-1.7,13.0,2023,185
1.0,4:44,4.0,19.0,DET 25,21.0,0.0,"Jack Fox punts 49 yards, returned by Lynn Bowden for -2 yards (tackle by Jalen Reeves-Maybin)",-1.7,-0.54,13.0,2023,185
1.0,4:33,1.0,10.0,NOR 24,21.0,0.0,Derek Carr pass complete short right to Jamaal Williams for 6 yards (tackle by Tracy Walker and Malcolm Rodriguez),0.54,0.81,13.0,2023,185
1.0,3:56,2.0,4.0,NOR 30,21.0,0.0,Taysom Hill right guard for 21 yards (tackle by John Cominsky),0.81,2.32,13.0,2023,185
1.0,3:18,1.0,10.0,DET 49,21.0,0.0,Alvin Kamara right tackle for 1 yard (tackle by Josh Paschal),2.32,1.92,13.0,2023,185
1.0,2:37,2.0,9.0,DET 48,21.0,0.0,Taysom Hill pass incomplete short right intended for Juwan Johnson,1.92,1.22,13.0,2023,185
1.0,2:31,3.0,9.0,DET 48,21.0,0.0,Derek Carr pass incomplete deep right intended for A.T. Perry,1.22,0.07,13.0,2023,185
1.0,2:27,4.0,9.0,DET 48,21.0,0.0,"Lou Hedley punts 48 yards, touchback.",0.07,-0.28,13.0,2023,185
1.0,2:19,1.0,10.0,DET 20,21.0,0.0,David Montgomery right guard for 13 yards (tackle by Isaac Yiadom),0.28,1.14,13.0,2023,185
1.0,1:43,1.0,10.0,DET 33,21.0,0.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Carl Granderson),1.14,0.59,13.0,2023,185
1.0,1:40,2.0,10.0,DET 33,21.0,0.0,David Montgomery left guard for 3 yards (tackle by Nathan Shepherd and Nephi Sewell),0.59,0.3,13.0,2023,185
1.0,1:01,3.0,7.0,DET 36,21.0,0.0,Jared Goff pass incomplete short left intended for Josh Reynolds,0.3,-0.98,13.0,2023,185
1.0,0:56,4.0,7.0,DET 36,21.0,0.0,"Jack Fox punts 38 yards, returned by Lynn Bowden for no gain (tackle by Jalen Reeves-Maybin). Penalty on Isaac Yiadom: Offensive Holding, 10 yards (accepted)",-0.98,0.14,13.0,2023,185
1.0,0:47,1.0,10.0,NOR 16,21.0,0.0,Alvin Kamara left end for 7 yards (tackle by Derrick Barnes and Benito Jones),-0.14,0.42,13.0,2023,185
1.0,0:05,2.0,3.0,NOR 23,21.0,0.0,Alvin Kamara left guard for 4 yards (tackle by Quinton Bohanna),0.42,0.74,13.0,2023,185
2.0,15:00,1.0,10.0,NOR 27,21.0,0.0,Jamaal Williams left tackle for 4 yards (tackle by Malcolm Rodriguez),0.74,0.74,13.0,2023,185
2.0,14:27,2.0,6.0,NOR 31,21.0,0.0,Alvin Kamara left end for 2 yards (tackle by Tracy Walker),0.74,0.3,13.0,2023,185
2.0,13:45,3.0,4.0,NOR 33,21.0,0.0,Derek Carr pass complete short middle to Alvin Kamara for 9 yards (tackle by Jerry Jacobs and Brian Branch),0.3,1.73,13.0,2023,185
2.0,13:08,1.0,10.0,NOR 42,21.0,0.0,Taysom Hill right tackle for -1 yards (tackle by Jack Campbell),1.73,1.05,13.0,2023,185
2.0,12:35,2.0,11.0,NOR 41,21.0,0.0,"Derek Carr pass incomplete short right intended for Juwan Johnson. Penalty on Ryan Ramczyk: Offensive Holding, 10 yards (declined)",1.05,0.37,13.0,2023,185
2.0,12:31,3.0,11.0,NOR 41,21.0,0.0,"Penalty on Erik McCoy: False Start, 5 yards (accepted) (no play)",0.37,-0.29,13.0,2023,185
2.0,12:31,3.0,16.0,NOR 36,21.0,0.0,Derek Carr pass complete deep right to A.T. Perry for 30 yards (tackle by Cameron Sutton),-0.29,3.31,13.0,2023,185
2.0,11:46,1.0,10.0,DET 34,21.0,0.0,Taysom Hill right end for 1 yard (tackle by Jack Campbell and Cameron Sutton),3.31,2.91,13.0,2023,185
2.0,11:10,2.0,9.0,DET 33,21.0,0.0,"Penalty on Erik McCoy: False Start, 5 yards (accepted) (no play)",2.91,2.23,13.0,2023,185
2.0,10:56,2.0,14.0,DET 38,21.0,0.0,Derek Carr pass complete short middle to Alvin Kamara for 5 yards (tackle by Jack Campbell),2.23,2.21,13.0,2023,185
2.0,10:24,,,,,,Timeout #1 by Detroit Lions,,,13.0,2023,185
2.0,10:24,3.0,9.0,DET 33,21.0,0.0,Derek Carr pass complete short right to Chris Olave for 24 yards (tackle by Kerby Joseph),2.21,5.14,13.0,2023,185
2.0,9:47,1.0,9.0,DET 9,21.0,0.0,Alvin Kamara left guard for 3 yards (tackle by Alim McNeill),5.14,4.95,13.0,2023,185
2.0,9:11,2.0,6.0,DET 6,21.0,6.0,"Derek Carr pass complete short middle to Jimmy Graham for 6 yards, touchdown",4.95,7.0,13.0,2023,185
2.0,9:08,,,DET 15,21.0,7.0,Blake Grupe kicks extra point good,0.0,0.0,13.0,2023,185
2.0,9:08,,,NOR 35,21.0,7.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,185
2.0,9:08,1.0,10.0,DET 25,21.0,7.0,David Montgomery right guard for 3 yards (tackle by Malcolm Roach),0.61,0.47,13.0,2023,185
2.0,8:45,2.0,7.0,DET 28,21.0,7.0,Jahmyr Gibbs left guard for 5 yards (tackle by Isaiah Foskey),0.47,0.43,13.0,2023,185
2.0,8:08,3.0,2.0,DET 33,21.0,7.0,Jared Goff pass complete short left to Sam LaPorta for 1 yard (tackle by Carl Granderson),0.43,-1.11,13.0,2023,185
2.0,7:25,4.0,1.0,DET 34,21.0,7.0,"Jack Fox punts 59 yards, returned by Lynn Bowden for 3 yards (tackle by Jalen Reeves-Maybin and Jack Campbell)",-1.11,0.38,13.0,2023,185
2.0,7:13,1.0,10.0,NOR 10,21.0,7.0,Jamaal Williams left tackle for 3 yards (tackle by Benito Jones and John Cominsky),-0.38,-0.56,13.0,2023,185
2.0,6:39,2.0,7.0,NOR 13,21.0,7.0,Derek Carr pass complete short left to Chris Olave for 4 yards (tackle by Jerry Jacobs),-0.56,-0.6,13.0,2023,185
2.0,6:03,3.0,3.0,NOR 17,21.0,7.0,Alvin Kamara left end for 1 yard (tackle by Derrick Barnes),-0.6,-2.24,13.0,2023,185
2.0,5:30,4.0,2.0,NOR 18,21.0,7.0,"Lou Hedley punts 42 yards, fair catch by Kalif Raymond at DET-40. Penalty on Anthony Pittman: Offensive Holding, 10 yards (accepted)",-2.24,-0.94,13.0,2023,185
2.0,5:24,1.0,10.0,DET 30,21.0,7.0,David Montgomery right end for -1 yards (tackle by Nephi Sewell),0.94,0.26,13.0,2023,185
