Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Mekhi Becton,T,68,100%,0,0%,2,7%,1,Jets,13.0,2023,182
Carter Warren,T,68,100%,0,0%,2,7%,1,Jets,13.0,2023,182
Laken Tomlinson,G,68,100%,0,0%,2,7%,1,Jets,13.0,2023,182
Garrett Wilson,WR,68,100%,0,0%,1,4%,1,Jets,13.0,2023,182
Wes Schweitzer,G,68,100%,0,0%,0,0%,1,Jets,13.0,2023,182
Joe Tippmann,C,68,100%,0,0%,0,0%,1,Jets,13.0,2023,182
Tyler Conklin,TE,50,74%,0,0%,3,11%,1,Jets,13.0,2023,182
Xavier Gipson,WR,48,71%,0,0%,13,47%,1,Jets,13.0,2023,182
Breece Hall,RB,46,68%,0,0%,0,0%,1,Jets,13.0,2023,182
Tim Boyle,QB,45,66%,0,0%,0,0%,1,Jets,13.0,2023,182
Jason Brownlee,WR,34,50%,0,0%,1,4%,1,Jets,13.0,2023,182
Allen Lazard,WR,32,47%,0,0%,0,0%,1,Jets,13.0,2023,182
Jeremy Ruckert,TE,28,41%,0,0%,13,47%,1,Jets,13.0,2023,182
Trevor Siemian,QB,23,34%,0,0%,0,0%,1,Jets,13.0,2023,182
Dalvin Cook,RB,18,26%,0,0%,0,0%,1,Jets,13.0,2023,182
Nick Bawden,FB,9,13%,0,0%,21,75%,1,Jets,13.0,2023,182
Duane Brown,T,5,7%,0,0%,2,7%,1,Jets,13.0,2023,182
C.J. Uzomah,TE,2,3%,0,0%,0,0%,1,Jets,13.0,2023,182
C.J. Mosley,LB,0,0%,68,100%,3,11%,1,Jets,13.0,2023,182
D.J. Reed,CB,0,0%,68,100%,1,4%,1,Jets,13.0,2023,182
Sauce Gardner,CB,0,0%,68,100%,0,0%,1,Jets,13.0,2023,182
Jordan Whitehead,SS,0,0%,68,100%,0,0%,1,Jets,13.0,2023,182
Tony Adams,FS,0,0%,67,99%,3,11%,1,Jets,13.0,2023,182
Quincy Williams,LB,0,0%,66,97%,0,0%,1,Jets,13.0,2023,182
Quinnen Williams,NT,0,0%,44,65%,3,11%,1,Jets,13.0,2023,182
John Franklin-Myers,DE,0,0%,42,62%,0,0%,1,Jets,13.0,2023,182
Jermaine Johnson II,LB,0,0%,41,60%,2,7%,1,Jets,13.0,2023,182
Quinton Jefferson,DE,0,0%,35,51%,3,11%,1,Jets,13.0,2023,182
Michael Carter II,CB,0,0%,34,50%,0,0%,1,Jets,13.0,2023,182
Bryce Huff,DE,0,0%,33,49%,3,11%,1,Jets,13.0,2023,182
Solomon Thomas,DT,0,0%,32,47%,3,11%,1,Jets,13.0,2023,182
Micheal Clemons,DE,0,0%,22,32%,12,43%,1,Jets,13.0,2023,182
Ashtyn Davis,SS,0,0%,19,28%,26,93%,1,Jets,13.0,2023,182
Jamien Sherwood,LB,0,0%,16,24%,26,93%,1,Jets,13.0,2023,182
Perrion Winfrey,DT,0,0%,13,19%,1,4%,1,Jets,13.0,2023,182
Will McDonald,LB,0,0%,12,18%,12,43%,1,Jets,13.0,2023,182
Justin Hardee,CB,0,0%,0,0%,24,86%,1,Jets,13.0,2023,182
Chazz Surratt,LB,0,0%,0,0%,23,82%,1,Jets,13.0,2023,182
Irvin Charles,WR,0,0%,0,0%,23,82%,1,Jets,13.0,2023,182
Samuel Eguavoen,LB,0,0%,0,0%,22,79%,1,Jets,13.0,2023,182
Jarrick Bernard-Converse,CB,0,0%,0,0%,15,54%,1,Jets,13.0,2023,182
Brandin Echols,CB,0,0%,0,0%,15,54%,1,Jets,13.0,2023,182
Thomas Morstead,P,0,0%,0,0%,9,32%,1,Jets,13.0,2023,182
Thomas Hennessy,LS,0,0%,0,0%,9,32%,1,Jets,13.0,2023,182
Greg Zuerlein,K,0,0%,0,0%,5,18%,1,Jets,13.0,2023,182
Jake Hanson,C,0,0%,0,0%,2,7%,1,Jets,13.0,2023,182
Max Mitchell,T,0,0%,0,0%,2,7%,1,Jets,13.0,2023,182
