Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Patrick Mahomes,KAN,0,0,13.0,2023,192
Isiah Pacheco,KAN,0,0,13.0,2023,192
Clyde Edwards-Helaire,KAN,0,0,13.0,2023,192
Kadarius Toney,KAN,0,0,13.0,2023,192
Travis Kelce,KAN,0,0,13.0,2023,192
Rashee Rice,KAN,0,0,13.0,2023,192
Marquez Valdes-Scantling,KAN,0,0,13.0,2023,192
Richie James,KAN,0,0,13.0,2023,192
Skyy Moore,KAN,0,0,13.0,2023,192
Noah Gray,KAN,0,0,13.0,2023,192
Jordan Love,GNB,0,0,13.0,2023,192
AJ Dillon,GNB,0,0,13.0,2023,192
Patrick Taylor,GNB,0,0,13.0,2023,192
Christian Watson,GNB,0,0,13.0,2023,192
James Robinson,GNB,0,0,13.0,2023,192
Romeo Doubs,GNB,0,0,13.0,2023,192
Dontayvion Wicks,GNB,0,0,13.0,2023,192
Tucker Kraft,GNB,0,0,13.0,2023,192
Jayden Reed,GNB,0,0,13.0,2023,192
Malik Heath,GNB,0,0,13.0,2023,192
Ben Sims,GNB,0,0,13.0,2023,192
