Unnamed: 0,LAC,NWE,week,year,game_id
First Downs,13,13,13.0,2023,187
Rush-Yds-TDs,24-29-0,32-148-0,13.0,2023,187
Cmp-Att-Yd-TD-INT,22-37-212-0-0,13-25-141-0-0,13.0,2023,187
Sacked-Yards,0-0,5-32,13.0,2023,187
Net Pass Yards,212,109,13.0,2023,187
Total Yards,241,257,13.0,2023,187
Fumbles-Lost,0-0,2-1,13.0,2023,187
Turnovers,0,1,13.0,2023,187
Penalties-Yards,4-20,3-14,13.0,2023,187
Third Down Conv.,5-15,4-14,13.0,2023,187
Fourth Down Conv.,0-0,1-3,13.0,2023,187
Time of Possession,28:50,31:10,13.0,2023,187
