Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Joe Flacco,CLE,0,0,0,0,0,13.0,2023,190
Kareem Hunt,CLE,1,1,0,0,0,13.0,2023,190
Pierre Strong,CLE,0,0,0,0,0,13.0,2023,190
Jerome Ford,CLE,3,3,33,1,24,13.0,2023,190
Elijah Moore,CLE,12,4,83,0,42,13.0,2023,190
Harrison Bryant,CLE,5,5,49,1,23,13.0,2023,190
Amari Cooper,CLE,5,3,34,0,22,13.0,2023,190
Cedric Tillman,CLE,6,2,20,0,13,13.0,2023,190
David Njoku,CLE,6,2,17,0,9,13.0,2023,190
David Bell,CLE,2,2,12,0,6,13.0,2023,190
Jordan Akins,CLE,1,1,6,0,6,13.0,2023,190
Matthew Stafford,LAR,0,0,0,0,0,13.0,2023,190
Kyren Williams,LAR,5,3,24,0,14,13.0,2023,190
Puka Nacua,LAR,7,4,105,1,70,13.0,2023,190
Demarcus Robinson,LAR,5,4,55,1,30,13.0,2023,190
Cooper Kupp,LAR,8,6,39,1,13,13.0,2023,190
Tyler Higbee,LAR,4,2,35,0,21,13.0,2023,190
Ben Skowronek,LAR,3,2,12,0,6,13.0,2023,190
Tutu Atwell,LAR,2,1,9,0,9,13.0,2023,190
Royce Freeman,LAR,0,0,0,0,0,13.0,2023,190
