Unnamed: 0,SEA,DAL,week,year,game_id
First Downs,25,33,13.0,2023,181
Rush-Yds-TDs,22-72-2,34-136-1,13.0,2023,181
Cmp-Att-Yd-TD-INT,23-41-334-3-1,29-41-299-3-0,13.0,2023,181
Sacked-Yards,1-0,4-24,13.0,2023,181
Net Pass Yards,334,275,13.0,2023,181
Total Yards,406,411,13.0,2023,181
Fumbles-Lost,0-0,0-0,13.0,2023,181
Turnovers,1,0,13.0,2023,181
Penalties-Yards,10-130,9-127,13.0,2023,181
Third Down Conv.,9-14,8-14,13.0,2023,181
Fourth Down Conv.,0-3,1-2,13.0,2023,181
Time of Possession,23:33,36:27,13.0,2023,181
