Quarter,Time,Tm,Detail,KAN,GNB,week,year,game_id
1.0,7:13,Packers,Ben Sims 1 yard pass from Jordan Love (Anders Carlson kick),0,7,13.0,2023,192
,0:00,Chiefs,Harrison Butker 34 yard field goal,3,7,13.0,2023,192
2.0,10:39,Packers,Christian Watson 9 yard pass from Jordan Love (Anders Carlson kick),3,14,13.0,2023,192
,2:19,Chiefs,Harrison Butker 34 yard field goal,6,14,13.0,2023,192
3.0,9:39,Chiefs,Isiah Pacheco 1 yard rush (run failed),12,14,13.0,2023,192
,5:23,Packers,Christian Watson 12 yard pass from Jordan Love (Anders Carlson kick),12,21,13.0,2023,192
4.0,14:51,Chiefs,Noah Gray 2 yard pass from Patrick Mahomes (Harrison Butker kick),19,21,13.0,2023,192
,6:03,Packers,Anders Carlson 40 yard field goal,19,24,13.0,2023,192
,1:09,Packers,Anders Carlson 48 yard field goal,19,27,13.0,2023,192
