Unnamed: 0,DET,NOR,week,year,game_id
First Downs,18,23,13.0,2023,185
Rush-Yds-TDs,30-142-2,36-113-3,13.0,2023,185
Cmp-Att-Yd-TD-INT,16-25-213-2-0,19-29-267-1-1,13.0,2023,185
Sacked-Yards,1-8,2-18,13.0,2023,185
Net Pass Yards,205,249,13.0,2023,185
Total Yards,347,362,13.0,2023,185
Fumbles-Lost,1-0,1-1,13.0,2023,185
Turnovers,0,2,13.0,2023,185
Penalties-Yards,6-45,6-50,13.0,2023,185
Third Down Conv.,6-13,6-12,13.0,2023,185
Fourth Down Conv.,0-0,0-1,13.0,2023,185
Time of Possession,27:50,32:10,13.0,2023,185
