Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Patriots to receive the opening kickoff.",,,13.0,2023,187
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,187
1.0,15:00,1.0,10.0,NWE 25,0.0,0.0,Bailey Zappe pass incomplete short middle intended for DeVante Parker,0.61,0.06,13.0,2023,187
1.0,14:57,2.0,10.0,NWE 25,0.0,0.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Austin Johnson),0.06,-0.23,13.0,2023,187
1.0,14:20,3.0,7.0,NWE 28,0.0,0.0,Bailey Zappe pass complete short left to DeVante Parker for 2 yards (tackle by Alohi Gilman and Essang Bassey),-0.23,-1.37,13.0,2023,187
1.0,13:38,4.0,5.0,NWE 30,0.0,0.0,"Bryce Baringer punts 56 yards, returned by Derius Davis for 13 yards (tackle by Jahlani Tavai)",-1.37,-0.74,13.0,2023,187
1.0,13:24,1.0,10.0,LAC 27,0.0,0.0,Justin Herbert pass complete short middle to Donald Parham for 5 yards (tackle by Kyle Dugger and Ja'Whaun Bentley),0.74,0.87,13.0,2023,187
1.0,12:52,2.0,5.0,LAC 32,0.0,0.0,Austin Ekeler right guard for no gain (tackle by Anfernee Jennings),0.87,0.17,13.0,2023,187
1.0,12:17,3.0,5.0,LAC 32,0.0,0.0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Myles Bryant),0.17,-1.24,13.0,2023,187
1.0,12:09,4.0,5.0,LAC 32,0.0,0.0,"JK Scott punts 50 yards, returned by Myles Bryant for -5 yards (tackle by Blake Lynch)",-1.24,0.32,13.0,2023,187
1.0,11:55,1.0,10.0,NWE 13,0.0,0.0,Rhamondre Stevenson left guard for 9 yards (tackle by Alohi Gilman and Austin Johnson),-0.32,0.49,13.0,2023,187
1.0,11:21,2.0,1.0,NWE 22,0.0,0.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for no gain (tackle by Khalil Mack),0.49,-0.35,13.0,2023,187
1.0,10:58,3.0,1.0,NWE 22,0.0,0.0,Bailey Zappe up the middle for 2 yards (tackle by Nick Williams and Kenneth Murray),-0.35,0.54,13.0,2023,187
1.0,10:03,1.0,10.0,NWE 24,0.0,0.0,Rhamondre Stevenson left guard for 1 yard (tackle by Kenneth Murray and Deane Leonard),0.54,0.13,13.0,2023,187
1.0,9:34,2.0,9.0,NWE 25,0.0,0.0,"Penalty on NWE: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",0.13,-0.54,13.0,2023,187
1.0,9:21,2.0,14.0,NWE 20,0.0,0.0,Bailey Zappe pass complete short right to JuJu Smith-Schuster for 11 yards (tackle by Derwin James),-0.54,0.23,13.0,2023,187
1.0,8:43,3.0,3.0,NWE 31,0.0,0.0,Rhamondre Stevenson left guard for 8 yards (tackle by Deane Leonard),0.23,1.53,13.0,2023,187
1.0,8:04,1.0,10.0,NWE 39,0.0,0.0,Rhamondre Stevenson right tackle for 3 yards (tackle by Austin Johnson),1.53,1.39,13.0,2023,187
1.0,7:26,2.0,7.0,NWE 42,0.0,0.0,Bailey Zappe scrambles right end for 5 yards (tackle by Eric Kendricks),1.39,1.36,13.0,2023,187
1.0,7:04,,,,,,Timeout #1 by Los Angeles Chargers,,,13.0,2023,187
1.0,7:04,3.0,2.0,NWE 47,0.0,0.0,Rhamondre Stevenson right end for 4 yards (tackle by Deane Leonard and Derwin James),1.36,2.32,13.0,2023,187
1.0,6:28,1.0,10.0,LAC 49,0.0,0.0,Rhamondre Stevenson left guard for 9 yards (tackle by Kenneth Murray),2.32,3.0,13.0,2023,187
1.0,5:54,2.0,1.0,LAC 40,0.0,0.0,Rhamondre Stevenson up the middle for 4 yards (tackle by Otito Ogbonnia and Eric Kendricks),3.0,3.18,13.0,2023,187
1.0,5:11,1.0,10.0,LAC 36,0.0,0.0,Bailey Zappe scrambles left tackle for 5 yards (tackle by Eric Kendricks),3.18,3.31,13.0,2023,187
1.0,4:27,2.0,5.0,LAC 31,0.0,0.0,"Rhamondre Stevenson up the middle for -2 yards. Rhamondre Stevenson fumbles (forced by Tuli Tuipulotu), recovered by Tuli Tuipulotu at LAC-33 (tackle by Tuli Tuipulotu) Replay Assistant challenged the fumble ruling, and the play was upheld.",3.31,-1.14,13.0,2023,187
1.0,4:13,1.0,10.0,LAC 33,0.0,0.0,Austin Ekeler left end for 4 yards (tackle by Jahlani Tavai and Lawrence Guy),1.14,1.13,13.0,2023,187
1.0,3:47,2.0,6.0,LAC 37,0.0,0.0,Austin Ekeler left tackle for 3 yards (tackle by Lawrence Guy),1.13,0.83,13.0,2023,187
1.0,3:11,3.0,3.0,LAC 40,0.0,0.0,Joshua Kelley left guard for 1 yard (tackle by Keion White and Jahlani Tavai),0.83,-0.65,13.0,2023,187
1.0,2:30,4.0,2.0,LAC 41,0.0,0.0,JK Scott punts 53 yards downed by AJ Finley,-0.65,0.38,13.0,2023,187
1.0,2:20,1.0,10.0,NWE 6,0.0,0.0,Ezekiel Elliott left tackle for 6 yards (tackle by Sebastian Joseph-Day and Eric Kendricks),-0.38,-0.34,13.0,2023,187
1.0,1:43,2.0,4.0,NWE 12,0.0,0.0,Bailey Zappe pass incomplete short right intended for Hunter Henry,-0.34,-0.72,13.0,2023,187
1.0,1:35,3.0,4.0,NWE 12,0.0,0.0,Bailey Zappe pass incomplete short left intended for JuJu Smith-Schuster,-0.72,-2.49,13.0,2023,187
1.0,1:29,4.0,4.0,NWE 12,0.0,0.0,Bryce Baringer punts 70 yards downed by Matthew Slater,-2.49,-0.04,13.0,2023,187
1.0,1:16,1.0,10.0,LAC 18,0.0,0.0,Justin Herbert pass complete short middle to Gerald Everett for 7 yards (tackle by Marte Mapu),0.04,0.55,13.0,2023,187
1.0,0:42,2.0,3.0,LAC 25,0.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 26 yards (tackle by Jabrill Peppers),0.55,2.32,13.0,2023,187
1.0,0:02,1.0,10.0,NWE 49,0.0,0.0,"Penalty on Zion Johnson: False Start, 5 yards (accepted) (no play)",2.32,1.99,13.0,2023,187
