Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Jared Goff,DET,0,0,0,0,0,13.0,2023,185
Jahmyr Gibbs,DET,2,1,-6,0,-6,13.0,2023,185
David Montgomery,DET,2,1,-1,0,-1,13.0,2023,185
Jameson Williams,DET,1,1,11,0,11,13.0,2023,185
Kalif Raymond,DET,0,0,0,0,0,13.0,2023,185
Sam LaPorta,DET,9,9,140,1,48,13.0,2023,185
Amon-Ra St. Brown,DET,6,2,49,1,25,13.0,2023,185
Josh Reynolds,DET,3,1,12,0,12,13.0,2023,185
Brock Wright,DET,1,1,8,0,8,13.0,2023,185
Donovan Peoples-Jones,DET,1,0,0,0,0,13.0,2023,185
Derek Carr,NOR,0,0,0,0,0,13.0,2023,185
Jameis Winston,NOR,0,0,0,0,0,13.0,2023,185
Taysom Hill,NOR,2,2,15,0,18,13.0,2023,185
Alvin Kamara,NOR,8,6,58,0,13,13.0,2023,185
Jamaal Williams,NOR,1,1,6,0,6,13.0,2023,185
Chris Olave,NOR,8,5,119,0,33,13.0,2023,185
A.T. Perry,NOR,3,1,30,0,30,13.0,2023,185
Foster Moreau,NOR,2,2,28,0,19,13.0,2023,185
Jimmy Graham,NOR,1,1,6,1,6,13.0,2023,185
Juwan Johnson,NOR,3,0,0,0,0,13.0,2023,185
Lynn Bowden Jr.,NOR,1,1,5,0,5,13.0,2023,185
