Quarter,Time,Tm,Detail,ARI,PIT,week,year,game_id
1.0,12:01,Steelers,Chris Boswell 29 yard field goal,0,3,13.0,2023,188
,5:44,Cardinals,Matt Prater 51 yard field goal,3,3,13.0,2023,188
2.0,0:15,Cardinals,Trey McBride 5 yard pass from Kyler Murray (Matt Prater kick),10,3,13.0,2023,188
3.0,7:18,Cardinals,James Conner 1 yard rush (Matt Prater kick),17,3,13.0,2023,188
4.0,8:28,Cardinals,James Conner 9 yard rush (Matt Prater kick),24,3,13.0,2023,188
,4:25,Steelers,Diontae Johnson 2 yard pass from Mitchell Trubisky (Chris Boswell kick),24,10,13.0,2023,188
