Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Eagles to receive the opening kickoff.",,,13.0,2023,191
1.0,15:00,,,SFO 35,0.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,191
1.0,15:00,1.0,10.0,PHI 25,0.0,0.0,Jalen Hurts pass incomplete short left intended for D'Andre Swift (defended by Charvarius Ward),0.61,0.06,13.0,2023,191
1.0,14:51,2.0,10.0,PHI 25,0.0,0.0,D'Andre Swift left guard for 1 yard (tackle by Tashaun Gipson),0.06,-0.49,13.0,2023,191
1.0,14:11,3.0,9.0,PHI 26,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 38 yards (tackle by Isaiah Oliver),-0.49,3.18,13.0,2023,191
1.0,13:33,1.0,10.0,SFO 36,0.0,0.0,Kenneth Gainwell left end for 2 yards (tackle by Ji'Ayir Brown),3.18,2.91,13.0,2023,191
1.0,12:52,2.0,8.0,SFO 34,0.0,0.0,Jalen Hurts pass complete short right to Quez Watkins for 8 yards (tackle by Charvarius Ward),2.91,3.84,13.0,2023,191
1.0,12:19,1.0,10.0,SFO 26,0.0,0.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,3.84,3.3,13.0,2023,191
1.0,12:09,2.0,10.0,SFO 26,0.0,0.0,D'Andre Swift left guard for 4 yards (tackle by Dre Greenlaw and Javon Kinlaw),3.3,3.14,13.0,2023,191
1.0,11:26,3.0,6.0,SFO 22,0.0,0.0,Jalen Hurts pass complete short right to Kenneth Gainwell for 11 yards (tackle by Tashaun Gipson),3.14,4.84,13.0,2023,191
1.0,10:46,1.0,10.0,SFO 11,0.0,0.0,Jalen Hurts pass incomplete short right,4.84,4.14,13.0,2023,191
1.0,10:39,2.0,10.0,SFO 11,0.0,0.0,D'Andre Swift left end for 3 yards (tackle by Tashaun Gipson),4.14,3.76,13.0,2023,191
1.0,9:58,3.0,7.0,SFO 8,0.0,0.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Charvarius Ward),3.76,2.96,13.0,2023,191
1.0,9:54,4.0,7.0,SFO 8,0.0,3.0,Jake Elliott 26 yard field goal good,2.96,3.0,13.0,2023,191
1.0,9:51,,,PHI 35,0.0,3.0,"Jake Elliott kicks off 70 yards, returned by Deebo Samuel for 32 yards (tackle by Nolan Smith)",0.0,0.74,13.0,2023,191
1.0,9:46,1.0,10.0,SFO 27,0.0,3.0,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk (defended by Jordan Davis),0.74,0.2,13.0,2023,191
1.0,9:43,2.0,10.0,SFO 27,0.0,3.0,Brock Purdy sacked by and Haason Reddick for -2 yards and Fletcher Cox for -2 yards,0.2,-0.76,13.0,2023,191
1.0,9:06,3.0,12.0,SFO 25,0.0,3.0,Brock Purdy pass incomplete short right intended for Christian McCaffrey,-0.76,-1.7,13.0,2023,191
1.0,8:56,4.0,12.0,SFO 25,0.0,3.0,"Mitch Wishnowsky punts 49 yards, fair catch by Britain Covey at PHI-26",-1.7,-0.67,13.0,2023,191
1.0,8:49,1.0,10.0,PHI 26,0.0,3.0,"Jalen Hurts aborted snap, recovered by Jalen Hurts at PHI-20 Jalen Hurts pass incomplete short right",0.67,0.13,13.0,2023,191
1.0,8:42,2.0,10.0,PHI 26,0.0,3.0,Jalen Hurts scrambles left end for 7 yards (tackle by Dre Greenlaw),0.13,0.37,13.0,2023,191
1.0,8:00,,,,,,Timeout #1 by Philadelphia Eagles,,,13.0,2023,191
1.0,8:00,3.0,3.0,PHI 33,0.0,3.0,Jalen Hurts pass complete short right to A.J. Brown for 17 yards (tackle by Charvarius Ward),0.37,2.26,13.0,2023,191
1.0,7:29,1.0,10.0,SFO 50,0.0,3.0,Jalen Hurts pass complete short left to DeVonta Smith for 10 yards (tackle by Ambry Thomas),2.26,2.92,13.0,2023,191
1.0,6:51,1.0,10.0,SFO 40,0.0,3.0,Boston Scott left guard for 2 yards (tackle by Nick Bosa and Javon Hargrave),2.92,2.64,13.0,2023,191
1.0,6:13,2.0,8.0,SFO 38,0.0,3.0,Jalen Hurts pass complete short middle to D'Andre Swift for 3 yards (tackle by Dre Greenlaw and Nick Bosa),2.64,2.34,13.0,2023,191
1.0,5:29,3.0,5.0,SFO 35,0.0,3.0,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by Ambry Thomas),2.34,3.64,13.0,2023,191
1.0,4:50,1.0,10.0,SFO 29,0.0,3.0,Jalen Hurts pass complete short right to DeVonta Smith for 11 yards (tackle by Charvarius Ward),3.64,4.37,13.0,2023,191
1.0,4:11,1.0,10.0,SFO 18,0.0,3.0,Jalen Hurts pass complete short right to A.J. Brown for 4 yards (tackle by Fred Warner),4.37,4.43,13.0,2023,191
1.0,3:33,2.0,6.0,SFO 14,0.0,3.0,Jalen Hurts sacked by Javon Kinlaw for -15 yards,4.43,1.68,13.0,2023,191
1.0,2:44,3.0,21.0,SFO 29,0.0,3.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 8 yards (tackle by Ambry Thomas),1.68,2.06,13.0,2023,191
1.0,2:05,4.0,13.0,SFO 21,0.0,6.0,"Jake Elliott 39 yard field goal good. Penalty on Randy Gregory: Defensive Offside, 5 yards (declined)",2.06,3.0,13.0,2023,191
1.0,2:01,,,PHI 35,0.0,6.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,191
1.0,2:01,1.0,10.0,SFO 25,0.0,6.0,Deebo Samuel right end for -4 yards (tackle by Christian Elliss),0.61,-0.48,13.0,2023,191
1.0,1:23,2.0,14.0,SFO 21,0.0,6.0,Brock Purdy pass incomplete short middle intended for George Kittle,-0.48,-1.15,13.0,2023,191
1.0,1:17,3.0,14.0,SFO 21,0.0,6.0,Brock Purdy pass incomplete deep right,-1.15,-1.96,13.0,2023,191
1.0,1:10,4.0,14.0,SFO 21,0.0,6.0,"Mitch Wishnowsky punts 46 yards, returned by Britain Covey for no gain (tackle by Samuel Womack)",-1.96,-1.14,13.0,2023,191
1.0,1:00,1.0,10.0,PHI 33,0.0,6.0,D'Andre Swift right end for no gain (tackle by Tashaun Gipson),1.14,0.59,13.0,2023,191
1.0,0:25,2.0,10.0,PHI 33,0.0,6.0,Jalen Hurts pass complete short left to A.J. Brown for 4 yards (tackle by Ji'Ayir Brown),0.59,0.43,13.0,2023,191
2.0,15:00,3.0,6.0,PHI 37,0.0,6.0,"Penalty on Jalen Hurts: False Start, 5 yards (accepted) (no play)",0.43,-0.23,13.0,2023,191
2.0,15:00,3.0,11.0,PHI 32,0.0,6.0,Jalen Hurts scrambles left end for 4 yards (tackle by Javon Hargrave and Ji'Ayir Brown),-0.23,-0.98,13.0,2023,191
2.0,14:23,4.0,7.0,PHI 36,0.0,6.0,"Braden Mann punts 52 yards, returned by Ronnie Bell for 3 yards (tackle by Patrick Johnson and Ben VanSumeren)",-0.98,0.22,13.0,2023,191
2.0,14:11,1.0,10.0,SFO 15,0.0,6.0,Christian McCaffrey right tackle for no gain (tackle by Sydney Brown),-0.22,-0.71,13.0,2023,191
2.0,13:25,2.0,10.0,SFO 15,0.0,6.0,"Penalty on Spencer Burford: False Start, 5 yards (accepted) (no play)",-0.71,-1.15,13.0,2023,191
2.0,13:05,2.0,15.0,SFO 10,0.0,6.0,Brock Purdy pass complete short right to Brandon Aiyuk for 12 yards (tackle by Darius Slay),-1.15,-0.51,13.0,2023,191
2.0,12:28,3.0,3.0,SFO 22,0.0,6.0,Brock Purdy pass complete short left to George Kittle for 3 yards (tackle by Bradley Roby),-0.51,0.61,13.0,2023,191
2.0,11:46,1.0,10.0,SFO 25,0.0,6.0,Brock Purdy pass complete short left to Brandon Aiyuk for 9 yards (tackle by Darius Slay and Christian Elliss),0.61,1.28,13.0,2023,191
2.0,11:04,2.0,1.0,SFO 34,0.0,6.0,Christian McCaffrey up the middle for no gain (tackle by Jalen Carter and Milton Williams),1.28,0.56,13.0,2023,191
2.0,10:21,3.0,1.0,SFO 34,0.0,6.0,Brock Purdy pass complete short middle to Deebo Samuel for 13 yards (tackle by Nicholas Morrow and Bradley Roby),0.56,2.06,13.0,2023,191
2.0,9:35,1.0,10.0,SFO 47,0.0,6.0,Christian McCaffrey left end for 11 yards (tackle by Kevin Byard),2.06,2.79,13.0,2023,191
2.0,8:50,1.0,10.0,PHI 42,0.0,6.0,Brock Purdy pass complete short right to George Kittle for 32 yards (tackle by Nicholas Morrow and Kevin Byard),2.79,4.91,13.0,2023,191
2.0,8:05,,,,,,Timeout #1 by San Francisco 49ers,,,13.0,2023,191
2.0,8:05,1.0,10.0,PHI 10,0.0,6.0,Brock Purdy scrambles left end for 6 yards (tackle by Reed Blankenship),4.91,5.34,13.0,2023,191
2.0,7:23,2.0,4.0,PHI 4,0.0,6.0,Brock Purdy pass incomplete short right intended for George Kittle,5.34,4.49,13.0,2023,191
2.0,7:19,3.0,4.0,PHI 4,0.0,6.0,"Brock Purdy pass incomplete short right intended for George Kittle. Penalty on Josh Sweat: Defensive Offside, 2 yards (accepted) (no play)",4.49,4.95,13.0,2023,191
2.0,7:15,3.0,2.0,PHI 2,6.0,6.0,"Brock Purdy pass complete short left to Brandon Aiyuk for 2 yards, touchdown Replay Assistant challenged the pass completion ruling, and the play was upheld.",4.95,7.0,13.0,2023,191
2.0,7:10,,,PHI 15,7.0,6.0,Jake Moody kicks extra point good,0.0,0.0,13.0,2023,191
2.0,7:10,,,SFO 35,7.0,6.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,191
2.0,7:10,1.0,10.0,PHI 25,7.0,6.0,Jalen Hurts sacked by Javon Kinlaw for -9 yards,0.61,-1.29,13.0,2023,191
2.0,6:23,2.0,19.0,PHI 16,7.0,6.0,Jalen Hurts pass incomplete short left,-1.29,-2.14,13.0,2023,191
2.0,6:18,3.0,19.0,PHI 16,7.0,6.0,Jalen Hurts pass complete short left to DeVonta Smith for 21 yards (tackle by Dre Greenlaw and Charvarius Ward),-2.14,1.4,13.0,2023,191
2.0,5:44,1.0,10.0,PHI 37,7.0,6.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 2 yards (tackle by Dre Greenlaw),1.4,1.13,13.0,2023,191
2.0,5:03,2.0,8.0,PHI 39,7.0,6.0,Jalen Hurts pass incomplete deep right intended for Quez Watkins (defended by Ambry Thomas),1.13,0.43,13.0,2023,191
2.0,4:56,3.0,8.0,PHI 39,7.0,6.0,Jalen Hurts pass incomplete short left,0.43,-0.78,13.0,2023,191
2.0,4:47,4.0,8.0,PHI 39,7.0,6.0,Braden Mann punts 51 yards out of bounds,-0.78,0.38,13.0,2023,191
2.0,4:37,1.0,10.0,SFO 10,7.0,6.0,Brock Purdy pass complete short right to Deebo Samuel for 9 yards (tackle by Haason Reddick),-0.38,0.24,13.0,2023,191
2.0,4:01,2.0,1.0,SFO 19,7.0,6.0,Christian McCaffrey up the middle for 7 yards (tackle by Christian Elliss),0.24,0.67,13.0,2023,191
2.0,3:23,1.0,10.0,SFO 26,7.0,6.0,Brock Purdy pass complete short right to George Kittle for 25 yards (tackle by Kevin Byard),0.67,2.32,13.0,2023,191
