Quarter,Time,Down,ToGo,Location,CIN,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Bengals to receive the opening kickoff.",,,13.0,2023,193
1,15:00,,,JAX 35,0.0,0.0,"Brandon McManus kicks off 64 yards, returned by Trayveon Williams for 21 yards (tackle by Rayshawn Jenkins and Shaquille Quarterman)",0.0,0.41,13.0,2023,193
1,14:53,1.0,10.0,CIN 22,0.0,0.0,Joe Mixon left guard for 4 yards (tackle by Foyesade Oluokun),0.41,0.41,13.0,2023,193
1,14:20,2.0,6.0,CIN 26,0.0,0.0,Chase Brown right end for 2 yards (tackle by Tre Herndon),0.41,-0.03,13.0,2023,193
1,13:40,3.0,4.0,CIN 28,0.0,0.0,Jake Browning pass complete short left to Tanner Hudson for 4 yards (tackle by Foyesade Oluokun),-0.03,1.07,13.0,2023,193
1,13:17,1.0,10.0,CIN 32,0.0,0.0,"Jake Browning pass complete short left to Tyler Boyd for 2 yards (tackle by Foyesade Oluokun). Penalty on Roy Robertson-Harris: Face Mask (15 Yards), 15 yards (accepted)",1.07,2.19,13.0,2023,193
1,12:54,1.0,10.0,CIN 49,0.0,0.0,Jake Browning pass complete short right to Ja'Marr Chase for -3 yards (tackle by Darious Williams),2.19,1.24,13.0,2023,193
1,12:13,2.0,13.0,CIN 46,0.0,0.0,Chase Brown right guard for 6 yards (tackle by Travon Walker and Foyesade Oluokun),1.24,1.36,13.0,2023,193
1,11:28,3.0,7.0,JAX 48,0.0,0.0,Jake Browning pass complete short left to Ja'Marr Chase for 4 yards (tackle by Darious Williams),1.36,0.33,13.0,2023,193
1,10:44,4.0,3.0,JAX 44,0.0,0.0,Jake Browning sacked by and Travon Walker for -5 yards and Josh Allen for -5 yards,0.33,-2.19,13.0,2023,193
1,10:40,1.0,10.0,JAX 49,0.0,0.0,Trevor Lawrence pass complete deep left to Christian Kirk for 26 yards (tackle by Jordan Battle),2.19,3.91,13.0,2023,193
1,10:12,1.0,10.0,CIN 25,0.0,0.0,Calvin Ridley right end for 10 yards (tackle by Jordan Battle),3.91,4.58,13.0,2023,193
1,9:38,1.0,10.0,CIN 15,0.0,0.0,Travis Etienne right guard for 4 yards (tackle by Chidobe Awuzie and Logan Wilson),4.58,4.64,13.0,2023,193
1,9:03,2.0,6.0,CIN 11,0.0,0.0,Trevor Lawrence pass complete short right to Calvin Ridley for 3 yards (tackle by Chidobe Awuzie),4.64,4.45,13.0,2023,193
1,8:18,3.0,3.0,CIN 8,0.0,0.0,Trevor Lawrence scrambles right end for 2 yards (tackle by Germaine Pratt),4.45,3.02,13.0,2023,193
1,7:30,4.0,1.0,CIN 6,0.0,0.0,Trevor Lawrence up the middle for 2 yards (tackle by D.J. Reader and B.J. Hill),3.02,6.28,13.0,2023,193
1,6:55,1.0,4.0,CIN 4,0.0,6.0,"Travis Etienne right end for 4 yards, touchdown",6.28,7.0,13.0,2023,193
1,6:51,,,CIN 15,0.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,13.0,2023,193
1,6:51,,,JAX 35,0.0,7.0,"Brandon McManus kicks off 59 yards, returned by Trayveon Williams for 20 yards (tackle by Brandon McManus). Penalty on Joe Bachie: Offensive Holding, 10 yards (accepted)",0.0,-0.14,13.0,2023,193
1,6:44,1.0,10.0,CIN 16,0.0,7.0,Jake Browning pass complete short right to Ja'Marr Chase for 2 yards (tackle by Gregory Junior),-0.14,-0.35,13.0,2023,193
1,5:58,2.0,8.0,CIN 18,0.0,7.0,Jake Browning pass complete short right to Joe Mixon for 28 yards (tackle by Andre Cisco),-0.35,1.99,13.0,2023,193
1,5:12,1.0,10.0,CIN 46,0.0,7.0,Chase Brown up the middle for 15 yards (tackle by Tyson Campbell),1.99,2.98,13.0,2023,193
1,4:31,1.0,10.0,JAX 39,0.0,7.0,Jake Browning pass complete short left to Ja'Marr Chase for 4 yards (tackle by Darious Williams),2.98,2.98,13.0,2023,193
1,3:50,2.0,6.0,JAX 35,0.0,7.0,Ja'Marr Chase pass complete short left to Jake Browning for -7 yards (tackle by K'Lavon Chaisson),2.98,1.36,13.0,2023,193
1,3:04,3.0,13.0,JAX 42,0.0,7.0,Jake Browning pass complete short right to Ja'Marr Chase for 4 yards (tackle by Rayshawn Jenkins),1.36,0.72,13.0,2023,193
