Unnamed: 0,CLE,LAR,week,year,game_id
First Downs,20,20,13.0,2023,190
Rush-Yds-TDs,23-87-0,25-120-1,13.0,2023,190
Cmp-Att-Yd-TD-INT,23-44-254-2-1,22-37-279-3-0,13.0,2023,190
Sacked-Yards,2-14,0-0,13.0,2023,190
Net Pass Yards,240,279,13.0,2023,190
Total Yards,327,399,13.0,2023,190
Fumbles-Lost,0-0,0-0,13.0,2023,190
Turnovers,1,0,13.0,2023,190
Penalties-Yards,7-86,7-45,13.0,2023,190
Third Down Conv.,7-16,4-12,13.0,2023,190
Fourth Down Conv.,0-2,0-0,13.0,2023,190
Time of Possession,34:03,25:57,13.0,2023,190
