Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Commanders to receive the opening kickoff.",,,13.0,2023,186
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,186
1.0,15:00,1.0,10.0,WAS 25,0.0,0.0,Brian Robinson up the middle for 2 yards (tackle by David Long and Zach Sieler),0.61,0.33,13.0,2023,186
1.0,14:22,2.0,8.0,WAS 27,0.0,0.0,Sam Howell pass incomplete short left intended for Jahan Dotson,0.33,-0.36,13.0,2023,186
1.0,14:19,3.0,8.0,WAS 27,0.0,0.0,"Sam Howell pass complete short right to Jahan Dotson for 12 yards MIA challenged the runner was in bounds ruling, and the play was upheld.",-0.36,1.53,13.0,2023,186
1.0,13:52,1.0,10.0,WAS 39,0.0,0.0,Sam Howell pass complete short middle to Curtis Samuel for 5 yards (tackle by Jerome Baker),1.53,1.66,13.0,2023,186
1.0,13:14,2.0,5.0,WAS 44,0.0,0.0,Antonio Gibson right guard for 9 yards (tackle by Jerome Baker and Xavien Howard),1.66,2.46,13.0,2023,186
1.0,12:30,1.0,10.0,MIA 47,0.0,0.0,Antonio Gibson left end for no gain (tackle by Kader Kohou and Zach Sieler),2.46,1.91,13.0,2023,186
1.0,11:49,2.0,10.0,MIA 47,0.0,0.0,Sam Howell pass complete short left to Curtis Samuel for 2 yards (tackle by Brandon Jones),1.91,1.49,13.0,2023,186
1.0,11:05,3.0,8.0,MIA 45,0.0,0.0,Sam Howell pass incomplete short left intended for John Bates,1.49,0.27,13.0,2023,186
1.0,11:02,4.0,8.0,MIA 45,0.0,0.0,"Tress Way punts 31 yards, fair catch by Braxton Berrios at MIA-14",0.27,0.28,13.0,2023,186
1.0,10:56,1.0,10.0,MIA 14,0.0,0.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 5 yards (tackle by Benjamin St-Juste),-0.28,-0.04,13.0,2023,186
