Unnamed: 0,KAN,GNB,week,year,game_id
First Downs,25,24,13.0,2023,192
Rush-Yds-TDs,25-148-1,25-129-0,13.0,2023,192
Cmp-Att-Yd-TD-INT,21-33-210-1-1,25-36-267-3-0,13.0,2023,192
Sacked-Yards,3-21,2-14,13.0,2023,192
Net Pass Yards,189,253,13.0,2023,192
Total Yards,337,382,13.0,2023,192
Fumbles-Lost,0-0,0-0,13.0,2023,192
Turnovers,1,0,13.0,2023,192
Penalties-Yards,5-50,7-63,13.0,2023,192
Third Down Conv.,7-11,5-10,13.0,2023,192
Fourth Down Conv.,0-1,1-1,13.0,2023,192
Time of Possession,29:28,30:32,13.0,2023,192
