Player,Pos,home_team,team,week,year,game_id
Bailey Zappe,QB,1,Patriots,13.0,2023,187
Rhamondre Stevenson,RB,1,Patriots,13.0,2023,187
Tyquan Thornton,WR,1,Patriots,13.0,2023,187
JuJu Smith-Schuster,WR,1,Patriots,13.0,2023,187
DeVante Parker,WR,1,Patriots,13.0,2023,187
Hunter Henry,TE,1,Patriots,13.0,2023,187
Michael Onwenu,OL,1,Patriots,13.0,2023,187
Cole Strange,OL,1,Patriots,13.0,2023,187
Sidy Sow,OL,1,Patriots,13.0,2023,187
Trent Brown,OL,1,Patriots,13.0,2023,187
David Andrews,C,1,Patriots,13.0,2023,187
Lawrence Guy,DL,1,Patriots,13.0,2023,187
Davon Godchaux,DL,1,Patriots,13.0,2023,187
Keion White,DE,1,Patriots,13.0,2023,187
Anfernee Jennings,LB,1,Patriots,13.0,2023,187
Jahlani Tavai,LB,1,Patriots,13.0,2023,187
Ja'Whaun Bentley,LB,1,Patriots,13.0,2023,187
J.C. Jackson,CB,1,Patriots,13.0,2023,187
Jonathan Jones,DB,1,Patriots,13.0,2023,187
Jalen Mills,DB,1,Patriots,13.0,2023,187
Jabrill Peppers,DB,1,Patriots,13.0,2023,187
Kyle Dugger,DB,1,Patriots,13.0,2023,187
