Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Christian McCaffrey,SFO,17,93,1,7.0,51,3.0,42,2.5,1,17.0,13.0,2023,191
Elijah Mitchell,SFO,3,13,0,1.0,3,1.0,10,3.3,1,3.0,13.0,2023,191
Deebo Samuel,SFO,3,22,1,2.0,18,6.0,4,1.3,0,,13.0,2023,191
Jordan Mason,SFO,2,10,0,1.0,4,2.0,6,3.0,0,,13.0,2023,191
Brock Purdy,SFO,2,9,0,1.0,3,1.5,6,3.0,1,2.0,13.0,2023,191
Sam Darnold,SFO,1,-1,0,,-1,-1.0,0,0.0,0,,13.0,2023,191
Jalen Hurts,PHI,7,20,1,1.0,20,2.9,0,0.0,0,,13.0,2023,191
D'Andre Swift,PHI,6,13,0,,12,2.0,1,0.2,0,,13.0,2023,191
Kenneth Gainwell,PHI,2,5,0,0.0,5,2.5,0,0.0,0,,13.0,2023,191
Marcus Mariota,PHI,2,6,0,1.0,6,3.0,0,0.0,0,,13.0,2023,191
Boston Scott,PHI,1,2,0,0.0,0,0.0,2,2.0,0,,13.0,2023,191
