Unnamed: 0,IND,TEN,week,year,game_id
First Downs,19,25,13.0,2023,183
Rush-Yds-TDs,23-55-0,42-177-2,13.0,2023,183
Cmp-Att-Yd-TD-INT,26-42-312-2-0,16-33-224-1-0,13.0,2023,183
Sacked-Yards,3-12,6-20,13.0,2023,183
Net Pass Yards,300,204,13.0,2023,183
Total Yards,355,381,13.0,2023,183
Fumbles-Lost,3-2,4-2,13.0,2023,183
Turnovers,2,2,13.0,2023,183
Penalties-Yards,4-29,9-74,13.0,2023,183
Third Down Conv.,3-14,6-17,13.0,2023,183
Fourth Down Conv.,1-1,0-1,13.0,2023,183
Time of Possession,29:03,38:26,13.0,2023,183
