Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,9.0,2023,125
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 54 yards, returned by Greg Dortch for 14 yards (tackle by Mike Ford and Jeremiah Owusu-Koramoah)",0.0,0.61,9.0,2023,125
1.0,14:56,1.0,10.0,ARI 25,0.0,0.0,Rondale Moore right guard for 2 yards (tackle by Grant Delpit),0.61,0.33,9.0,2023,125
1.0,14:24,2.0,8.0,ARI 27,0.0,0.0,Clayton Tune pass complete short right to Trey McBride for 12 yards (tackle by Grant Delpit),0.33,1.53,9.0,2023,125
1.0,13:52,1.0,10.0,ARI 39,0.0,0.0,Keaontay Ingram right guard for 11 yards (tackle by Juan Thornhill and Anthony Walker),1.53,2.26,9.0,2023,125
1.0,13:12,1.0,10.0,CLE 50,0.0,0.0,Keaontay Ingram left guard for 2 yards (tackle by Rodney McLeod and Sione Takitaki),2.26,1.98,9.0,2023,125
1.0,12:36,2.0,8.0,CLE 48,0.0,0.0,Clayton Tune pass incomplete short left intended for Marquise Brown (defended by Myles Garrett),1.98,1.29,9.0,2023,125
1.0,12:34,3.0,8.0,CLE 48,0.0,0.0,Clayton Tune pass complete short right to Marquise Brown for no gain (tackle by Grant Delpit),1.29,0.07,9.0,2023,125
1.0,12:01,4.0,8.0,CLE 48,0.0,0.0,"Blake Gillikin punts 37 yards, fair catch by James Proche at CLE-11",0.07,0.37,9.0,2023,125
1.0,11:53,1.0,10.0,CLE 11,0.0,0.0,Jerome Ford right guard for 6 yards (tackle by Kyzir White),-0.37,-0.16,9.0,2023,125
1.0,11:19,2.0,4.0,CLE 17,0.0,0.0,Jerome Ford right guard for 2 yards (tackle by Kevin Strong and Zaven Collins),-0.16,-0.48,9.0,2023,125
1.0,10:35,3.0,2.0,CLE 19,0.0,0.0,Deshaun Watson pass complete short right to Jerome Ford for 17 yards (tackle by Budda Baker),-0.48,1.33,9.0,2023,125
