Unnamed: 0,LAR,GNB,week,year,game_id
First Downs,10,21,9.0,2023,126
Rush-Yds-TDs,26-68-0,38-184-1,9.0,2023,126
Cmp-Att-Yd-TD-INT,13-28-130-0-1,20-26-228-1-0,9.0,2023,126
Sacked-Yards,1-11,4-21,9.0,2023,126
Net Pass Yards,119,207,9.0,2023,126
Total Yards,187,391,9.0,2023,126
Fumbles-Lost,2-1,3-2,9.0,2023,126
Turnovers,2,2,9.0,2023,126
Penalties-Yards,5-36,8-57,9.0,2023,126
Third Down Conv.,5-14,7-14,9.0,2023,126
Fourth Down Conv.,0-2,1-1,9.0,2023,126
Time of Possession,24:44,35:16,9.0,2023,126
