Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Clayton Tune,ARI,1,1,9.0,2023,125
Keaontay Ingram,ARI,0,0,9.0,2023,125
Rondale Moore,ARI,0,0,9.0,2023,125
Tony Jones,ARI,0,0,9.0,2023,125
Marquise Brown,ARI,0,0,9.0,2023,125
Trey McBride,ARI,0,0,9.0,2023,125
Greg Dortch,ARI,0,0,9.0,2023,125
Zach Pascal,ARI,0,0,9.0,2023,125
Deshaun Watson,CLE,0,0,9.0,2023,125
Jerome Ford,CLE,0,0,9.0,2023,125
Kareem Hunt,CLE,0,0,9.0,2023,125
Pierre Strong,CLE,0,0,9.0,2023,125
Amari Cooper,CLE,0,0,9.0,2023,125
David Njoku,CLE,0,0,9.0,2023,125
Elijah Moore,CLE,0,0,9.0,2023,125
Jordan Akins,CLE,0,0,9.0,2023,125
Cedric Tillman,CLE,0,0,9.0,2023,125
Marquise Goodwin,CLE,0,0,9.0,2023,125
