Quarter,Time,Tm,Detail,DAL,PHI,week,year,game_id
1.0,5:46,Eagles,Kenneth Gainwell 12 yard rush (Jake Elliott kick),0,7,9.0,2023,133
,1:37,Cowboys,Jake Ferguson 4 yard pass from Dak Prescott (Brandon Aubrey kick),7,7,9.0,2023,133
2.0,11:16,Cowboys,KaVontae Turpin 5 yard pass from Dak Prescott (Brandon Aubrey kick),14,7,9.0,2023,133
,5:09,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),14,14,9.0,2023,133
,1:15,Cowboys,Brandon Aubrey 51 yard field goal,17,14,9.0,2023,133
3.0,11:23,Eagles,DeVonta Smith 29 yard pass from Jalen Hurts (Jake Elliott kick),17,21,9.0,2023,133
,1:13,Eagles,A.J. Brown 4 yard pass from Jalen Hurts (Jake Elliott kick),17,28,9.0,2023,133
4.0,6:23,Cowboys,Jalen Tolbert 7 yard pass from Dak Prescott (run failed),23,28,9.0,2023,133
