Quarter,Time,Down,ToGo,Location,WAS,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Commanders to receive the opening kickoff.",,,9.0,2023,130
1.0,15:00,,,NWE 35,0.0,0.0,"Chad Ryland kicks off 66 yards, returned by Antonio Gibson for 37 yards (tackle by Jabrill Peppers)",0.0,1.33,9.0,2023,130
1.0,14:54,1.0,10.0,WAS 36,0.0,0.0,Sam Howell pass complete short middle to Brian Robinson for 4 yards (tackle by Ja'Whaun Bentley),1.33,1.33,9.0,2023,130
1.0,14:21,2.0,6.0,WAS 40,0.0,0.0,Brian Robinson right guard for 4 yards (tackle by Davon Godchaux and Deatrich Wise),1.33,1.16,9.0,2023,130
1.0,13:36,3.0,2.0,WAS 44,0.0,0.0,Sam Howell pass incomplete short middle intended for Jahan Dotson,1.16,-0.46,9.0,2023,130
1.0,13:31,4.0,2.0,WAS 44,0.0,0.0,"Tress Way punts 40 yards, fair catch by Demario Douglas at NE-16",-0.46,0.14,9.0,2023,130
1.0,13:23,1.0,10.0,NWE 16,0.0,0.0,Mac Jones pass complete short middle to Demario Douglas for 11 yards (tackle by Benjamin St-Juste),-0.14,0.74,9.0,2023,130
1.0,12:52,1.0,10.0,NWE 27,0.0,0.0,Rhamondre Stevenson up the middle for 1 yard (tackle by James Smith-Williams),0.74,0.33,9.0,2023,130
1.0,12:15,2.0,9.0,NWE 28,0.0,0.0,Mac Jones pass incomplete short right intended for Rhamondre Stevenson,0.33,-0.36,9.0,2023,130
1.0,12:10,3.0,9.0,NWE 28,0.0,0.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 13 yards (tackle by Jamin Davis),-0.36,1.66,9.0,2023,130
1.0,11:46,1.0,10.0,NWE 41,0.0,0.0,Rhamondre Stevenson up the middle for 2 yards (tackle by John Ridgeway),1.66,1.39,9.0,2023,130
1.0,11:15,2.0,8.0,NWE 43,0.0,0.0,Rhamondre Stevenson left guard for 5 yards (tackle by Khaleke Hudson),1.39,1.36,9.0,2023,130
1.0,10:40,3.0,3.0,NWE 48,0.0,0.0,Mac Jones pass complete short middle to Hunter Henry for 6 yards (tackle by Kamren Curl and Jamin Davis),1.36,2.52,9.0,2023,130
1.0,10:04,1.0,10.0,WAS 46,0.0,0.0,Mac Jones pass incomplete short middle intended for Demario Douglas (defended by Benjamin St-Juste),2.52,1.98,9.0,2023,130
1.0,9:59,2.0,10.0,WAS 46,0.0,0.0,Ezekiel Elliott left guard for no gain (tackle by Jonathan Allen),1.98,1.29,9.0,2023,130
1.0,9:22,3.0,10.0,WAS 46,0.0,0.0,Mac Jones pass complete short right to Tyquan Thornton for 7 yards (tackle by Kamren Curl),1.29,0.66,9.0,2023,130
1.0,8:40,4.0,3.0,WAS 39,0.0,0.0,Mac Jones pass incomplete deep left intended for Tyquan Thornton,0.66,-1.53,9.0,2023,130
1.0,8:34,1.0,10.0,WAS 39,0.0,0.0,Brian Robinson right guard for 5 yards (tackle by Jahlani Tavai and Lawrence Guy),1.53,1.66,9.0,2023,130
1.0,7:54,2.0,5.0,WAS 44,0.0,0.0,Sam Howell pass complete short middle to Dyami Brown for 19 yards (tackle by Kyle Dugger and Shaun Wade),1.66,3.12,9.0,2023,130
1.0,7:15,1.0,10.0,NWE 37,0.0,0.0,Sam Howell pass complete short right to Antonio Gibson for 7 yards (tackle by Jalen Mills),3.12,3.52,9.0,2023,130
1.0,6:37,2.0,3.0,NWE 30,0.0,0.0,Sam Howell pass complete short right to Terry McLaurin for 2 yards (tackle by Ja'Whaun Bentley),3.52,3.07,9.0,2023,130
