Unnamed: 0,LAC,NYJ,week,year,game_id
First Downs,14,17,9.0,2023,136
Rush-Yds-TDs,21-84-2,20-64-0,9.0,2023,136
Cmp-Att-Yd-TD-INT,16-30-136-0-0,33-49-263-0-0,9.0,2023,136
Sacked-Yards,5-29,8-57,9.0,2023,136
Net Pass Yards,107,206,9.0,2023,136
Total Yards,191,270,9.0,2023,136
Fumbles-Lost,3-0,4-3,9.0,2023,136
Turnovers,0,3,9.0,2023,136
Penalties-Yards,4-39,8-40,9.0,2023,136
Third Down Conv.,7-16,3-17,9.0,2023,136
Fourth Down Conv.,0-0,3-4,9.0,2023,136
Time of Possession,25:33,34:27,9.0,2023,136
