Quarter,Time,Down,ToGo,Location,NYG,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Giants to receive the opening kickoff.",,,9.0,2023,134
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 58 yards, returned by Parris Campbell for 13 yards (tackle by Ameer Abdullah)",0.0,0.28,9.0,2023,134
1.0,14:55,1.0,10.0,NYG 20,0.0,0.0,Daniel Jones pass incomplete short left intended for Saquon Barkley,0.28,-0.27,9.0,2023,134
1.0,14:51,2.0,10.0,NYG 20,0.0,0.0,Daniel Jones pass incomplete short left intended for Wan'Dale Robinson,-0.27,-0.96,9.0,2023,134
1.0,14:44,3.0,10.0,NYG 20,0.0,0.0,Daniel Jones pass complete short middle to Daniel Bellinger for 9 yards (tackle by Tre'von Moehrig and Amari Burney),-0.96,-1.44,9.0,2023,134
1.0,14:03,4.0,1.0,NYG 29,0.0,0.0,"Penalty on Evan Neal: False Start, 4 yards (accepted) (no play)",-1.44,-1.7,9.0,2023,134
1.0,13:44,4.0,5.0,NYG 25,0.0,0.0,"Jamie Gillan punts 48 yards, returned by DeAndre Carter for 6 yards (tackle by Isaiah Simmons)",-1.7,-1.14,9.0,2023,134
1.0,13:35,1.0,10.0,LVR 33,0.0,0.0,Josh Jacobs up the middle for 5 yards (tackle by A'Shawn Robinson and Deonte Banks),1.14,1.27,9.0,2023,134
1.0,12:57,2.0,5.0,LVR 38,0.0,0.0,Josh Jacobs left guard for 10 yards (tackle by Xavier McKinney),1.27,2.13,9.0,2023,134
1.0,12:20,1.0,10.0,LVR 48,0.0,0.0,"Penalty on Josh Jacobs: False Start, 5 yards (accepted) (no play)",2.13,1.8,9.0,2023,134
1.0,11:58,1.0,15.0,LVR 43,0.0,0.0,Josh Jacobs up the middle for 8 yards (tackle by Deonte Banks and Bobby Okereke),1.8,1.99,9.0,2023,134
1.0,11:14,2.0,7.0,NYG 49,0.0,0.0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 24 yards (tackle by Xavier McKinney and Deonte Banks),1.99,3.91,9.0,2023,134
1.0,10:33,1.0,10.0,NYG 25,0.0,0.0,Josh Jacobs right end for 8 yards (tackle by Jason Pinnock),3.91,4.55,9.0,2023,134
1.0,9:50,2.0,2.0,NYG 17,0.0,6.0,"Jakobi Meyers left end for 17 yards, touchdown",4.55,7.0,9.0,2023,134
1.0,9:45,,,NYG 15,0.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,9.0,2023,134
1.0,9:45,,,LVR 35,0.0,7.0,"Daniel Carlson kicks off 65 yards, returned by Parris Campbell for 28 yards (tackle by Curtis Bolton)",0.0,0.81,9.0,2023,134
1.0,9:39,1.0,10.0,NYG 28,0.0,7.0,Daniel Jones scrambles right end for 9 yards (tackle by Maxx Crosby),0.81,1.48,9.0,2023,134
1.0,9:04,2.0,1.0,NYG 37,0.0,7.0,Saquon Barkley up the middle for 10 yards (tackle by Marcus Peters),1.48,2.06,9.0,2023,134
1.0,8:29,1.0,10.0,NYG 47,0.0,7.0,Daniel Jones pass incomplete deep right intended for Darius Slayton,2.06,1.52,9.0,2023,134
1.0,8:22,2.0,10.0,NYG 47,0.0,7.0,Saquon Barkley left tackle for 8 yards (tackle by Jaylon Smith),1.52,1.88,9.0,2023,134
1.0,7:42,3.0,2.0,LVR 45,0.0,7.0,Saquon Barkley up the middle for 2 yards (tackle by Nate Hobbs and Robert Spillane),1.88,2.72,9.0,2023,134
1.0,6:59,1.0,10.0,LVR 43,0.0,7.0,Daniel Jones pass incomplete deep left intended for Jalin Hyatt,2.72,2.18,9.0,2023,134
1.0,6:51,2.0,10.0,LVR 43,0.0,7.0,Saquon Barkley up the middle for 7 yards (tackle by Isaiah Pola-Mao),2.18,2.41,9.0,2023,134
1.0,6:11,3.0,3.0,LVR 36,0.0,7.0,Matt Breida up the middle for 2 yards (tackle by Tyree Wilson),2.41,1.1,9.0,2023,134
1.0,5:38,4.0,1.0,LVR 34,0.0,7.0,Daniel Jones up the middle for no gain (tackle by Maxx Crosby),1.1,-1.2,9.0,2023,134
1.0,5:34,1.0,10.0,LVR 34,0.0,7.0,Aidan O'Connell pass complete short right to Michael Mayer for 4 yards (tackle by Nick McCloud),1.2,1.2,9.0,2023,134
1.0,5:03,2.0,6.0,LVR 38,0.0,7.0,Josh Jacobs up the middle for 2 yards (tackle by Bobby Okereke),1.2,0.76,9.0,2023,134
1.0,4:24,3.0,4.0,LVR 40,0.0,7.0,Aidan O'Connell pass incomplete short left intended for Jakobi Meyers,0.76,-0.72,9.0,2023,134
1.0,4:19,4.0,4.0,LVR 40,0.0,7.0,"Penalty on Ameer Abdullah: False Start, 5 yards (accepted) (no play)",-0.72,-1.04,9.0,2023,134
