Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Brett Rypien,LAR,0,0,0,0,0,9.0,2023,126
Royce Freeman,LAR,1,0,0,0,0,9.0,2023,126
Darrell Henderson,LAR,2,2,16,0,8,9.0,2023,126
Cooper Kupp,LAR,7,2,48,0,34,9.0,2023,126
Puka Nacua,LAR,7,3,32,0,18,9.0,2023,126
Demarcus Robinson,LAR,1,1,15,0,15,9.0,2023,126
Tutu Atwell,LAR,7,4,13,0,5,9.0,2023,126
Austin Trammell,LAR,1,1,6,0,6,9.0,2023,126
Tyler Higbee,LAR,1,0,0,0,0,9.0,2023,126
Ben Skowronek,LAR,0,0,0,0,0,9.0,2023,126
Jordan Love,GNB,0,0,0,0,0,9.0,2023,126
Aaron Jones,GNB,6,4,26,0,13,9.0,2023,126
Emanuel Wilson,GNB,0,0,0,0,0,9.0,2023,126
AJ Dillon,GNB,1,1,3,0,3,9.0,2023,126
Jayden Reed,GNB,3,3,19,0,11,9.0,2023,126
Luke Musgrave,GNB,4,3,51,1,25,9.0,2023,126
Dontayvion Wicks,GNB,4,4,49,0,18,9.0,2023,126
Christian Watson,GNB,2,1,37,0,37,9.0,2023,126
Romeo Doubs,GNB,3,3,36,0,17,9.0,2023,126
Josiah Deguara,GNB,1,1,7,0,7,9.0,2023,126
Malik Heath,GNB,1,0,0,0,0,9.0,2023,126
