Unnamed: 0,IND,CAR,week,year,game_id
First Downs,17,17,9.0,2023,132
Rush-Yds-TDs,30-78-0,28-138-0,9.0,2023,132
Cmp-Att-Yd-TD-INT,17-26-127-1-0,24-39-173-1-3,9.0,2023,132
Sacked-Yards,1-7,4-36,9.0,2023,132
Net Pass Yards,120,137,9.0,2023,132
Total Yards,198,275,9.0,2023,132
Fumbles-Lost,1-1,1-0,9.0,2023,132
Turnovers,1,3,9.0,2023,132
Penalties-Yards,5-25,10-81,9.0,2023,132
Third Down Conv.,4-13,7-16,9.0,2023,132
Fourth Down Conv.,0-0,2-3,9.0,2023,132
Time of Possession,28:51,31:09,9.0,2023,132
