Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Joshua Dobbs,MIN,3,2,9.0,2023,128
Jaren Hall,MIN,0,0,9.0,2023,128
Cam Akers,MIN,0,0,9.0,2023,128
Alexander Mattison,MIN,0,0,9.0,2023,128
T.J. Hockenson,MIN,0,0,9.0,2023,128
Jordan Addison,MIN,0,0,9.0,2023,128
Johnny Mundt,MIN,0,0,9.0,2023,128
K.J. Osborn,MIN,0,0,9.0,2023,128
Brandon Powell,MIN,0,0,9.0,2023,128
Trishton Jackson,MIN,0,0,9.0,2023,128
Josh Oliver,MIN,0,0,9.0,2023,128
Taylor Heinicke,ATL,0,0,9.0,2023,128
Bijan Robinson,ATL,1,1,9.0,2023,128
Tyler Allgeier,ATL,0,0,9.0,2023,128
Jonnu Smith,ATL,0,0,9.0,2023,128
KhaDarel Hodge,ATL,0,0,9.0,2023,128
Kyle Pitts,ATL,0,0,9.0,2023,128
Mack Hollins,ATL,0,0,9.0,2023,128
Van Jefferson,ATL,0,0,9.0,2023,128
Cordarrelle Patterson,ATL,0,0,9.0,2023,128
Damiere Byrd,ATL,0,0,9.0,2023,128
