Quarter,Time,Down,ToGo,Location,SEA,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,9.0,2023,131
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,131
1.0,15:00,1.0,10.0,SEA 25,0.0,0.0,Kenneth Walker left tackle for 2 yards (tackle by Justin Madubuike and Broderick Washington),0.61,0.33,9.0,2023,131
1.0,14:21,2.0,8.0,SEA 27,0.0,0.0,Kenneth Walker left end for 4 yards (tackle by Patrick Queen and Marlon Humphrey),0.33,0.17,9.0,2023,131
1.0,13:38,3.0,4.0,SEA 31,0.0,0.0,Geno Smith pass incomplete short right intended for Jaxon Smith-Njigba,0.17,-1.31,9.0,2023,131
1.0,13:34,4.0,4.0,SEA 31,0.0,0.0,"Michael Dickson punts 49 yards, fair catch by Devin Duvernay at BAL-20",-1.31,-0.28,9.0,2023,131
1.0,13:27,1.0,10.0,BAL 20,0.0,0.0,Lamar Jackson pass complete short middle to Mark Andrews for 13 yards (tackle by Jordyn Brooks and Bobby Wagner),0.28,1.14,9.0,2023,131
1.0,12:46,1.0,10.0,BAL 33,0.0,0.0,Gus Edwards left guard for 2 yards (tackle by Bobby Wagner),1.14,0.86,9.0,2023,131
1.0,12:04,2.0,8.0,BAL 35,0.0,0.0,"Penalty on Kevin Zeitler: False Start, 5 yards (accepted) (no play)",0.86,0.19,9.0,2023,131
1.0,11:48,2.0,13.0,BAL 30,0.0,0.0,Lamar Jackson pass incomplete short middle intended for Odell Beckham,0.19,-0.49,9.0,2023,131
1.0,11:44,3.0,13.0,BAL 30,0.0,0.0,Lamar Jackson pass incomplete deep right intended for Rashod Bateman,-0.49,-1.37,9.0,2023,131
1.0,11:38,4.0,13.0,BAL 30,0.0,0.0,"Jordan Stout punts 47 yards, returned by DeeJay Dallas for 8 yards (tackle by Trenton Simpson)",-1.37,-1.0,9.0,2023,131
1.0,11:29,1.0,10.0,SEA 31,0.0,0.0,Kenneth Walker left tackle for 2 yards (tackle by Jadeveon Clowney),1.0,0.73,9.0,2023,131
1.0,10:49,2.0,8.0,SEA 33,0.0,0.0,Geno Smith pass complete deep left to Tyler Lockett for 18 yards,0.73,2.32,9.0,2023,131
1.0,10:19,1.0,10.0,BAL 49,0.0,0.0,Geno Smith scrambles up the middle for 5 yards (tackle by Arthur Maulet),2.32,2.46,9.0,2023,131
1.0,9:38,2.0,5.0,BAL 44,0.0,0.0,Kenneth Walker left tackle for 1 yard (tackle by Jadeveon Clowney),2.46,1.88,9.0,2023,131
1.0,8:58,3.0,4.0,BAL 43,0.0,0.0,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Jadeveon Clowney),1.88,0.4,9.0,2023,131
