Unnamed: 0,WAS,NWE,week,year,game_id
First Downs,23,18,9.0,2023,130
Rush-Yds-TDs,29-124-1,19-107-1,9.0,2023,130
Cmp-Att-Yd-TD-INT,29-45-325-1-1,24-44-220-1-1,9.0,2023,130
Sacked-Yards,3-17,0-0,9.0,2023,130
Net Pass Yards,308,220,9.0,2023,130
Total Yards,432,327,9.0,2023,130
Fumbles-Lost,1-1,0-0,9.0,2023,130
Turnovers,2,1,9.0,2023,130
Penalties-Yards,4-30,4-30,9.0,2023,130
Third Down Conv.,9-17,3-12,9.0,2023,130
Fourth Down Conv.,0-0,1-2,9.0,2023,130
Time of Possession,37:10,22:50,9.0,2023,130
