Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Andrew Thomas,T,63,100%,0,0%,0,0%,0,Giants,9.0,2023,134
Ben Bredeson,G,63,100%,0,0%,0,0%,0,Giants,9.0,2023,134
Justin Pugh,G,63,100%,0,0%,0,0%,0,Giants,9.0,2023,134
John Michael Schmitz,C,63,100%,0,0%,0,0%,0,Giants,9.0,2023,134
Daniel Bellinger,TE,54,86%,0,0%,4,17%,0,Giants,9.0,2023,134
Darius Slayton,WR,51,81%,0,0%,0,0%,0,Giants,9.0,2023,134
Evan Neal,T,50,79%,0,0%,0,0%,0,Giants,9.0,2023,134
Saquon Barkley,RB,47,75%,0,0%,0,0%,0,Giants,9.0,2023,134
Tommy DeVito,QB,42,67%,0,0%,0,0%,0,Giants,9.0,2023,134
Jalin Hyatt,WR,37,59%,0,0%,0,0%,0,Giants,9.0,2023,134
Wan'Dale Robinson,WR,34,54%,0,0%,0,0%,0,Giants,9.0,2023,134
Isaiah Hodgins,WR,31,49%,0,0%,0,0%,0,Giants,9.0,2023,134
Lawrence Cager,TE,26,41%,0,0%,13,54%,0,Giants,9.0,2023,134
Daniel Jones,QB,21,33%,0,0%,0,0%,0,Giants,9.0,2023,134
Matt Breida,RB,18,29%,0,0%,12,50%,0,Giants,9.0,2023,134
Parris Campbell,WR,14,22%,0,0%,7,29%,0,Giants,9.0,2023,134
Tyre Phillips,T,14,22%,0,0%,0,0%,0,Giants,9.0,2023,134
Deon Jackson,RB,1,2%,0,0%,9,38%,0,Giants,9.0,2023,134
Sterling Shepard,WR,1,2%,0,0%,0,0%,0,Giants,9.0,2023,134
Xavier McKinney,FS,0,0%,60,100%,8,33%,0,Giants,9.0,2023,134
Bobby Okereke,LB,0,0%,60,100%,0,0%,0,Giants,9.0,2023,134
Jason Pinnock,SS,0,0%,59,98%,9,38%,0,Giants,9.0,2023,134
Deonte Banks,CB,0,0%,58,97%,6,25%,0,Giants,9.0,2023,134
Kayvon Thibodeaux,LB,0,0%,51,85%,0,0%,0,Giants,9.0,2023,134
Micah McFadden,LB,0,0%,48,80%,6,25%,0,Giants,9.0,2023,134
Jihad Ward,DE,0,0%,43,72%,0,0%,0,Giants,9.0,2023,134
Dexter Lawrence,NT,0,0%,42,70%,8,33%,0,Giants,9.0,2023,134
Cordale Flott,CB,0,0%,38,63%,0,0%,0,Giants,9.0,2023,134
Rakeem Nunez-Roches,NT,0,0%,35,58%,8,33%,0,Giants,9.0,2023,134
Nick McCloud,CB,0,0%,34,57%,16,67%,0,Giants,9.0,2023,134
A'Shawn Robinson,DT,0,0%,30,50%,6,25%,0,Giants,9.0,2023,134
Adoree' Jackson,CB,0,0%,26,43%,0,0%,0,Giants,9.0,2023,134
Boogie Basham,LB,0,0%,26,43%,0,0%,0,Giants,9.0,2023,134
D.J. Davidson,DT,0,0%,19,32%,8,33%,0,Giants,9.0,2023,134
Dane Belton,SS,0,0%,18,30%,22,92%,0,Giants,9.0,2023,134
Isaiah Simmons,LB,0,0%,13,22%,16,67%,0,Giants,9.0,2023,134
Carter Coughlin,LB,0,0%,0,0%,24,100%,0,Giants,9.0,2023,134
Cam Brown,LB,0,0%,0,0%,24,100%,0,Giants,9.0,2023,134
Justin Hollins,LB,0,0%,0,0%,12,50%,0,Giants,9.0,2023,134
Bobby McCain,SS,0,0%,0,0%,12,50%,0,Giants,9.0,2023,134
Tre Hawkins,CB,0,0%,0,0%,10,42%,0,Giants,9.0,2023,134
Darnay Holmes,CB,0,0%,0,0%,9,38%,0,Giants,9.0,2023,134
Gunner Olszewski,WR,0,0%,0,0%,5,21%,0,Giants,9.0,2023,134
Casey Kreiter,LS,0,0%,0,0%,4,17%,0,Giants,9.0,2023,134
Jamie Gillan,P,0,0%,0,0%,4,17%,0,Giants,9.0,2023,134
Randy Bullock,K,0,0%,0,0%,2,8%,0,Giants,9.0,2023,134
