Unnamed: 0,CHI,NOR,week,year,game_id
First Downs,20,18,9.0,2023,129
Rush-Yds-TDs,32-156-0,27-87-0,9.0,2023,129
Cmp-Att-Yd-TD-INT,18-30-220-2-3,26-35-214-3-0,9.0,2023,129
Sacked-Yards,2-8,0-0,9.0,2023,129
Net Pass Yards,212,214,9.0,2023,129
Total Yards,368,301,9.0,2023,129
Fumbles-Lost,3-2,0-0,9.0,2023,129
Turnovers,5,0,9.0,2023,129
Penalties-Yards,8-71,1-5,9.0,2023,129
Third Down Conv.,6-12,7-14,9.0,2023,129
Fourth Down Conv.,1-1,0-1,9.0,2023,129
Time of Possession,30:40,29:20,9.0,2023,129
