Quarter,Time,Down,ToGo,Location,TAM,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Texans to receive the opening kickoff.",,,9.0,2023,127
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,127
1.0,15:00,1.0,10.0,HOU 25,0.0,0.0,C.J. Stroud pass incomplete short right intended for Tank Dell,0.61,0.06,9.0,2023,127
1.0,14:55,2.0,10.0,HOU 25,0.0,0.0,C.J. Stroud pass incomplete short right,0.06,-0.62,9.0,2023,127
1.0,14:48,3.0,10.0,HOU 25,0.0,0.0,"C.J. Stroud pass complete short left to Dalton Schultz for 9 yards. Dalton Schultz fumbles (forced by Lavonte David), recovered by Antoine Winfield at HOU-42",-0.62,-2.79,9.0,2023,127
1.0,14:38,1.0,10.0,HOU 42,0.0,0.0,"Baker Mayfield pass complete short right to Cade Otton for 24 yards (tackle by Jimmie Ward). Penalty on Jonathan Greenard: Defensive Offside, 5 yards (declined)",2.79,4.37,9.0,2023,127
1.0,14:15,1.0,10.0,HOU 18,0.0,0.0,Rachaad White up the middle for no gain (tackle by Blake Cashman and Denzel Perryman),4.37,3.8,9.0,2023,127
1.0,13:40,2.0,10.0,HOU 18,0.0,0.0,Baker Mayfield pass incomplete short right intended for Cade Otton,3.8,3.05,9.0,2023,127
1.0,13:36,3.0,10.0,HOU 18,0.0,0.0,Baker Mayfield pass complete short right to Rachaad White for 1 yard (tackle by Blake Cashman),3.05,2.31,9.0,2023,127
1.0,12:59,4.0,9.0,HOU 17,3.0,0.0,Chase McLaughlin 35 yard field goal good,2.31,3.0,9.0,2023,127
1.0,12:56,,,TAM 35,3.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,127
1.0,12:56,1.0,10.0,HOU 25,3.0,0.0,C.J. Stroud pass complete short right to Dalton Schultz for 21 yards (tackle by Carlton Davis),0.61,1.99,9.0,2023,127
1.0,12:17,1.0,10.0,HOU 46,3.0,0.0,Devin Singletary left guard for 3 yards (tackle by Vita Vea),1.99,1.86,9.0,2023,127
1.0,11:38,2.0,7.0,HOU 49,3.0,0.0,C.J. Stroud pass complete short middle to Tank Dell for 15 yards (tackle by Ryan Neal),1.86,3.18,9.0,2023,127
1.0,11:02,1.0,10.0,TAM 36,3.0,0.0,Devin Singletary left guard for -1 yards (tackle by Lavonte David),3.18,2.5,9.0,2023,127
1.0,10:24,2.0,11.0,TAM 37,3.0,0.0,Tank Dell left end for 2 yards (tackle by Shaquil Barrett),2.5,2.08,9.0,2023,127
1.0,9:43,3.0,9.0,TAM 35,3.0,0.0,C.J. Stroud pass complete short right to Noah Brown for 6 yards (tackle by Devin White),2.08,1.58,9.0,2023,127
1.0,9:43,4.0,3.0,TAM 29,3.0,0.0,"Penalty on Shaquil Barrett: Roughing the Passer, 15 yards (accepted) (no play)",1.58,4.65,9.0,2023,127
1.0,9:14,1.0,10.0,TAM 14,3.0,6.0,"C.J. Stroud pass complete short left to Nico Collins for 14 yards, touchdown",4.65,7.0,9.0,2023,127
1.0,9:10,,,TAM 15,3.0,7.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,9.0,2023,127
1.0,9:10,,,HOU 35,3.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,127
1.0,9:10,1.0,10.0,TAM 25,3.0,7.0,Baker Mayfield pass complete short left to Rachaad White for 33 yards (tackle by Blake Cashman and Jalen Pitre),0.61,2.79,9.0,2023,127
1.0,8:27,1.0,10.0,HOU 42,3.0,7.0,Rachaad White up the middle for 4 yards (tackle by Jerry Hughes),2.79,2.78,9.0,2023,127
1.0,7:50,2.0,6.0,HOU 38,3.0,7.0,Rachaad White right guard for 4 yards (tackle by Denzel Perryman and Shaquill Griffin),2.78,2.61,9.0,2023,127
1.0,7:16,3.0,2.0,HOU 34,3.0,7.0,Baker Mayfield pass complete short right to Mike Evans for 10 yards (tackle by M.J. Stewart),2.61,3.97,9.0,2023,127
1.0,6:42,1.0,10.0,HOU 24,3.0,7.0,Ke'Shawn Vaughn right tackle for 1 yard (tackle by Jonathan Greenard),3.97,3.57,9.0,2023,127
1.0,6:04,2.0,9.0,HOU 23,3.0,7.0,Ke'Shawn Vaughn left guard for 1 yard (tackle by Hassan Ridgeway),3.57,3.01,9.0,2023,127
1.0,5:27,3.0,8.0,HOU 22,3.0,7.0,Baker Mayfield sacked by Will Anderson for -5 yards,3.01,1.67,9.0,2023,127
1.0,5:27,4.0,13.0,HOU 27,3.0,7.0,"Penalty on Jimmie Ward: Unnecessary Roughness / Defense, 14 yards (accepted) Penalty on M.J. Stewart: Illegal Contact, 5 yards (declined) (no play)",1.67,4.71,9.0,2023,127
1.0,4:47,1.0,10.0,HOU 13,3.0,7.0,Rachaad White up the middle for 4 yards (tackle by Blake Cashman and Henry To'oTo'o),4.71,4.77,9.0,2023,127
1.0,4:13,2.0,6.0,HOU 9,3.0,7.0,Baker Mayfield pass incomplete short right intended for Mike Evans,4.77,3.88,9.0,2023,127
1.0,4:10,3.0,6.0,HOU 9,3.0,7.0,"Baker Mayfield pass complete short middle to Chris Godwin for no gain (tackle by Blake Cashman). Penalty on Luke Goedeke: Offensive Holding, 10 yards (accepted) (no play)",3.88,2.67,9.0,2023,127
1.0,3:42,3.0,16.0,HOU 19,3.0,7.0,Baker Mayfield pass complete short left to Chris Godwin for 15 yards (tackle by Henry To'oTo'o and Steven Nelson),2.67,3.04,9.0,2023,127
1.0,3:18,4.0,1.0,HOU 4,3.0,7.0,Rachaad White right tackle for 3 yards (tackle by Henry To'oTo'o and Tavierre Thomas),3.04,6.97,9.0,2023,127
1.0,2:54,1.0,1.0,HOU 1,3.0,7.0,Baker Mayfield right end for -2 yards (tackle by Blake Cashman),6.97,5.53,9.0,2023,127
1.0,2:19,2.0,3.0,HOU 3,9.0,7.0,"Baker Mayfield pass complete short middle to Cade Otton for 3 yards, touchdown",5.53,7.0,9.0,2023,127
1.0,2:13,,,HOU 15,10.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,9.0,2023,127
1.0,2:13,,,TAM 35,10.0,7.0,"Jake Camarda kicks off 64 yards, returned by Mike Boone for 8 yards (tackle by Cam Gill and Josh Hayes)",0.0,-0.38,9.0,2023,127
1.0,2:08,1.0,10.0,HOU 9,10.0,7.0,Devin Singletary right end for 1 yard (tackle by Lavonte David),-0.38,-0.71,9.0,2023,127
1.0,1:33,2.0,9.0,HOU 10,10.0,7.0,C.J. Stroud pass incomplete deep left intended for Tank Dell,-0.71,-1.3,9.0,2023,127
1.0,1:27,,,,,,Timeout #1 by Houston Texans,,,9.0,2023,127
1.0,1:27,3.0,9.0,HOU 10,10.0,7.0,C.J. Stroud pass incomplete short left intended for Tank Dell,-1.3,-2.49,9.0,2023,127
