Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Rams to receive the opening kickoff.",,,9.0,2023,126
1.0,15:00,,,GNB 35,0.0,0.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,126
1.0,15:00,1.0,10.0,LAR 25,0.0,0.0,Darrell Henderson up the middle for 5 yards (tackle by Jonathan Owens),0.61,0.74,9.0,2023,126
1.0,14:24,2.0,5.0,LAR 30,0.0,0.0,Brett Rypien pass incomplete short right intended for Puka Nacua,0.74,0.04,9.0,2023,126
1.0,14:21,3.0,5.0,LAR 30,0.0,0.0,Brett Rypien pass complete short left to Puka Nacua for 10 yards (tackle by Jaire Alexander and Jonathan Owens),0.04,1.6,9.0,2023,126
1.0,13:49,1.0,10.0,LAR 40,0.0,0.0,Darrell Henderson right end for 6 yards (tackle by Carrington Valentine),1.6,1.86,9.0,2023,126
1.0,13:05,2.0,4.0,LAR 46,0.0,0.0,Darrell Henderson up the middle for 3 yards (tackle by Devonte Wyatt and De'Vondre Campbell),1.86,1.55,9.0,2023,126
1.0,12:17,3.0,1.0,LAR 49,0.0,0.0,Ben Skowronek left end for -2 yards (tackle by Jaire Alexander),1.55,-0.26,9.0,2023,126
1.0,11:35,4.0,3.0,LAR 47,0.0,0.0,"Ethan Evans punts 37 yards, fair catch by Jayden Reed at GB-16. Penalty on Kingsley Enagbare: Offensive Holding, 8 yards (accepted)",-0.26,0.38,9.0,2023,126
1.0,11:27,1.0,10.0,GNB 8,0.0,0.0,Aaron Jones up the middle for 1 yard (tackle by Troy Reeder and Jonah Williams),-0.38,-0.71,9.0,2023,126
1.0,10:54,2.0,9.0,GNB 9,0.0,0.0,Jordan Love pass complete short right to Aaron Jones for 2 yards (tackle by Byron Young and Jordan Fuller),-0.71,-1.07,9.0,2023,126
1.0,10:08,3.0,7.0,GNB 11,0.0,0.0,Jordan Love pass complete short right to Dontayvion Wicks for 9 yards (tackle by Michael Hoecht),-1.07,0.28,9.0,2023,126
