Unnamed: 0,TAM,HOU,week,year,game_id
First Downs,21,26,9.0,2023,127
Rush-Yds-TDs,31-81-2,17-53-0,9.0,2023,127
Cmp-Att-Yd-TD-INT,21-30-265-2-0,30-42-470-5-0,9.0,2023,127
Sacked-Yards,2-14,3-27,9.0,2023,127
Net Pass Yards,251,443,9.0,2023,127
Total Yards,332,496,9.0,2023,127
Fumbles-Lost,2-1,2-1,9.0,2023,127
Turnovers,1,1,9.0,2023,127
Penalties-Yards,9-90,9-115,9.0,2023,127
Third Down Conv.,3-13,3-11,9.0,2023,127
Fourth Down Conv.,2-2,1-1,9.0,2023,127
Time of Possession,31:20,28:40,9.0,2023,127
