Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Falcons to receive the opening kickoff.",,,9.0,2023,128
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,128
1.0,15:00,1.0,10.0,ATL 25,0.0,0.0,Bijan Robinson left end for 2 yards (tackle by Harrison Phillips and Harrison Smith),0.61,0.33,9.0,2023,128
1.0,14:26,2.0,8.0,ATL 27,0.0,0.0,Taylor Heinicke pass complete short right to Cordarrelle Patterson for 3 yards (tackle by Harrison Smith and Jonathan Bullard),0.33,0.04,9.0,2023,128
1.0,13:45,3.0,5.0,ATL 30,0.0,0.0,Taylor Heinicke pass complete short middle to Kyle Pitts for 12 yards (tackle by Camryn Bynum),0.04,1.73,9.0,2023,128
1.0,13:11,1.0,10.0,ATL 42,0.0,0.0,Taylor Heinicke pass complete short right to Jonnu Smith for 10 yards (tackle by Harrison Smith and Jordan Hicks),1.73,2.39,9.0,2023,128
1.0,12:36,1.0,10.0,MIN 48,0.0,0.0,Tyler Allgeier right end for -4 yards (tackle by Byron Murphy),2.39,1.31,9.0,2023,128
1.0,12:01,2.0,14.0,ATL 48,0.0,0.0,Taylor Heinicke pass complete short left to Tyler Allgeier for -1 yards (tackle by Josh Metellus),1.31,0.5,9.0,2023,128
1.0,11:24,3.0,15.0,ATL 47,0.0,0.0,Taylor Heinicke pass incomplete short left,0.5,-0.26,9.0,2023,128
1.0,11:15,4.0,15.0,ATL 47,0.0,0.0,"Bradley Pinion punts 45 yards, fair catch by Brandon Powell at MIN-8",-0.26,0.38,9.0,2023,128
1.0,11:08,1.0,10.0,MIN 8,0.0,0.0,Alexander Mattison left tackle for no gain (tackle by Calais Campbell),-0.38,-0.78,9.0,2023,128
1.0,10:33,2.0,10.0,MIN 8,0.0,0.0,Jaren Hall pass complete short right to Jordan Addison for no gain (tackle by Nathan Landman),-0.78,-1.42,9.0,2023,128
1.0,9:47,3.0,10.0,MIN 8,0.0,0.0,Jaren Hall scrambles right tackle for 8 yards (tackle by Richie Grant),-1.42,-2.39,9.0,2023,128
1.0,9:06,4.0,2.0,MIN 16,0.0,0.0,"Ryan Wright punts 52 yards, fair catch by DeAundre Alford at ATL-32",-2.39,-1.07,9.0,2023,128
1.0,8:59,1.0,10.0,ATL 32,0.0,0.0,Taylor Heinicke pass complete deep left to KhaDarel Hodge for 31 yards (tackle by Jordan Hicks),1.07,3.12,9.0,2023,128
1.0,8:26,1.0,10.0,MIN 37,0.0,0.0,Cordarrelle Patterson left end for no gain (tackle by Akayleb Evans and D.J. Wonnum),3.12,2.57,9.0,2023,128
1.0,7:56,2.0,10.0,MIN 37,0.0,0.0,Bijan Robinson left end for 3 yards (tackle by Akayleb Evans and Danielle Hunter),2.57,2.28,9.0,2023,128
1.0,7:17,3.0,7.0,MIN 34,0.0,0.0,Taylor Heinicke pass incomplete short right intended for Kyle Pitts,2.28,1.06,9.0,2023,128
