Quarter,Time,Tm,Detail,BUF,CIN,week,year,game_id
1.0,9:18,Bengals,Irv Smith Jr. 7 yard pass from Joe Burrow (Evan McPherson kick),0,7,9.0,2023,135
,6:03,Bills,Josh Allen 2 yard rush (Tyler Bass kick),7,7,9.0,2023,135
,0:35,Bengals,Joe Mixon 2 yard rush (Evan McPherson kick),7,14,9.0,2023,135
2.0,1:37,Bengals,Drew Sample 22 yard pass from Joe Burrow (Evan McPherson kick),7,21,9.0,2023,135
3.0,10:21,Bills,Tyler Bass 34 yard field goal,10,21,9.0,2023,135
4.0,8:08,Bengals,Evan McPherson 20 yard field goal,10,24,9.0,2023,135
,3:32,Bills,Stefon Diggs 17 yard pass from Josh Allen (Stefon Diggs pass from Josh Allen),18,24,9.0,2023,135
