Unnamed: 0,DAL,PHI,week,year,game_id
First Downs,27,20,9.0,2023,133
Rush-Yds-TDs,21-73-0,33-109-2,9.0,2023,133
Cmp-Att-Yd-TD-INT,29-44-374-3-0,17-23-207-2-0,9.0,2023,133
Sacked-Yards,5-41,3-24,9.0,2023,133
Net Pass Yards,333,183,9.0,2023,133
Total Yards,406,292,9.0,2023,133
Fumbles-Lost,2-1,3-0,9.0,2023,133
Turnovers,1,0,9.0,2023,133
Penalties-Yards,10-83,10-98,9.0,2023,133
Third Down Conv.,6-15,7-14,9.0,2023,133
Fourth Down Conv.,3-5,2-2,9.0,2023,133
Time of Possession,29:42,30:18,9.0,2023,133
