Unnamed: 0,NYG,LVR,week,year,game_id
First Downs,15,15,9.0,2023,134
Rush-Yds-TDs,25-123-0,34-125-3,9.0,2023,134
Cmp-Att-Yd-TD-INT,19-29-200-1-2,16-25-209-0-0,9.0,2023,134
Sacked-Yards,8-46,0-0,9.0,2023,134
Net Pass Yards,154,209,9.0,2023,134
Total Yards,277,334,9.0,2023,134
Fumbles-Lost,1-0,0-0,9.0,2023,134
Turnovers,2,0,9.0,2023,134
Penalties-Yards,3-8,4-30,9.0,2023,134
Third Down Conv.,3-12,5-14,9.0,2023,134
Fourth Down Conv.,1-5,0-1,9.0,2023,134
Time of Possession,31:04,28:56,9.0,2023,134
