Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Dak Prescott,DAL,6,14,0,6,9.0,2023,133
Tony Pollard,DAL,12,51,0,15,9.0,2023,133
Rico Dowdle,DAL,2,8,0,5,9.0,2023,133
CeeDee Lamb,DAL,0,0,0,0,9.0,2023,133
Jake Ferguson,DAL,0,0,0,0,9.0,2023,133
Jalen Tolbert,DAL,0,0,0,0,9.0,2023,133
Michael Gallup,DAL,0,0,0,0,9.0,2023,133
Brandin Cooks,DAL,0,0,0,0,9.0,2023,133
KaVontae Turpin,DAL,1,0,0,0,9.0,2023,133
Hunter Luepke,DAL,0,0,0,0,9.0,2023,133
Luke Schoonmaker,DAL,0,0,0,0,9.0,2023,133
Jalen Hurts,PHI,10,36,1,6,9.0,2023,133
D'Andre Swift,PHI,18,43,0,8,9.0,2023,133
Kenneth Gainwell,PHI,3,22,1,12,9.0,2023,133
Rashaad Penny,PHI,2,8,0,6,9.0,2023,133
A.J. Brown,PHI,0,0,0,0,9.0,2023,133
DeVonta Smith,PHI,0,0,0,0,9.0,2023,133
Dallas Goedert,PHI,0,0,0,0,9.0,2023,133
Olamide Zaccheaus,PHI,0,0,0,0,9.0,2023,133
