Quarter,Time,Down,ToGo,Location,MIA,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,9.0,2023,124
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,124
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Patrick Mahomes pass complete deep left to Marquez Valdes-Scantling for 21 yards (tackle by David Long),0.61,1.99,9.0,2023,124
1.0,14:25,1.0,10.0,KAN 46,0.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 4 yards (tackle by DeShon Elliott),1.99,1.99,9.0,2023,124
1.0,13:50,2.0,6.0,KAN 50,0.0,0.0,Isiah Pacheco right guard for 4 yards (tackle by David Long and Bradley Chubb),1.99,1.82,9.0,2023,124
1.0,13:15,3.0,2.0,MIA 46,0.0,0.0,Patrick Mahomes pass complete short right to Skyy Moore for 10 yards (tackle by Kader Kohou and Jaelan Phillips),1.82,3.18,9.0,2023,124
1.0,12:41,1.0,10.0,MIA 36,0.0,0.0,Patrick Mahomes pass complete deep right to Noah Gray for 25 yards (tackle by DeShon Elliott),3.18,4.84,9.0,2023,124
1.0,12:12,1.0,10.0,MIA 11,0.0,0.0,"Patrick Mahomes pass complete short middle to Justin Watson for 11 yards, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Patrick Mahomes pass incomplete short middle intended for Justin Watson",4.84,4.14,9.0,2023,124
1.0,12:08,2.0,10.0,MIA 11,0.0,6.0,"Patrick Mahomes pass complete short left to Rashee Rice for 11 yards, touchdown",4.14,7.0,9.0,2023,124
1.0,12:03,,,MIA 15,0.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,9.0,2023,124
1.0,12:03,,,KAN 35,0.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,124
1.0,12:03,1.0,10.0,MIA 25,0.0,7.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 15 yards (tackle by Drue Tranquill),0.61,1.6,9.0,2023,124
1.0,11:27,1.0,10.0,MIA 40,0.0,7.0,Raheem Mostert right end for no gain (tackle by Chamarri Conner and Drue Tranquill),1.6,1.05,9.0,2023,124
1.0,10:47,2.0,10.0,MIA 40,0.0,7.0,Tua Tagovailoa pass complete short left to Tyreek Hill for no gain (tackle by Michael Danna),1.05,0.37,9.0,2023,124
1.0,10:01,,,,,,Timeout #1 by Miami Dolphins,,,9.0,2023,124
1.0,10:01,3.0,10.0,MIA 40,0.0,7.0,"Penalty on Chase Claypool: False Start, 5 yards (accepted) (no play)",0.37,-0.3,9.0,2023,124
1.0,10:01,3.0,15.0,MIA 35,0.0,7.0,"Penalty on Chris Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.3,0.37,9.0,2023,124
1.0,10:01,3.0,10.0,MIA 40,0.0,7.0,Tua Tagovailoa sacked by Jaylen Watson for -7 yards,0.37,-1.18,9.0,2023,124
1.0,9:24,4.0,17.0,MIA 33,0.0,7.0,"Jake Bailey punts 40 yards, returned by Mecole Hardman for -3 yards (tackle by Elijah Campbell)",-1.18,-0.54,9.0,2023,124
1.0,9:13,1.0,10.0,KAN 24,0.0,7.0,Isiah Pacheco left guard for 8 yards (tackle by Bradley Chubb and Jevon Holland),0.54,1.08,9.0,2023,124
1.0,8:41,2.0,2.0,KAN 32,0.0,7.0,Isiah Pacheco up the middle for 9 yards (tackle by DeShon Elliott and Jevon Holland),1.08,1.66,9.0,2023,124
1.0,8:01,1.0,10.0,KAN 41,0.0,7.0,Patrick Mahomes pass incomplete short right intended for La'Mical Perine,1.66,1.12,9.0,2023,124
1.0,7:56,2.0,10.0,KAN 41,0.0,7.0,Isiah Pacheco left tackle for no gain (tackle by Andrew Van Ginkel and David Long),1.12,0.43,9.0,2023,124
1.0,7:21,3.0,10.0,KAN 41,0.0,7.0,Patrick Mahomes pass complete short right to Travis Kelce for 3 yards (tackle by Andrew Van Ginkel),0.43,-0.46,9.0,2023,124
1.0,6:45,4.0,7.0,KAN 44,0.0,7.0,"Tommy Townsend punts 38 yards, fair catch by Braxton Berrios at MIA-18",-0.46,-0.04,9.0,2023,124
1.0,6:38,1.0,10.0,MIA 18,0.0,7.0,Raheem Mostert left end for 6 yards (tackle by Michael Danna and Trent McDuffie),0.04,0.41,9.0,2023,124
1.0,5:59,2.0,4.0,MIA 24,0.0,7.0,Jaylen Waddle left end for 12 yards (tackle by Bryan Cook),0.41,1.33,9.0,2023,124
